0,pinyin,mim simpl,mim trad,Glosnnummer,Functioneel,HIERARCHIE DINGEMANSE,Gloss meaning,Middle Chinese,MC tonen,Morf,zdic,Translation,Sem typ (corpus),Sem typ (dict),Fanqie zdic,AUTHOR ENGL,AUTHOR CHI,BORN,DIED,old birhplace,current place,other place (current),titel,POEM PLACE,Syntaxis,distichon/regel,vert Wang,Uitspraak distichon,pagina Wang,onderdeel 3TP,link,,,http://zh.wikisource.org/wiki/%E5%94%90%E8%A9%A9%E4%B8%89%E7%99%BE%E9%A6%96,,,,,,
53,cuīwéi,崔嵬,崔嵬,38,PR,VISUAL,big,*dzwoj~*ngwoj,P~P,RHYME,1.本指有石的土山。后泛指高山。2.比喻巨大的障碍或困难。3.山顶。4.高耸貌；高大貌。5.显赫；盛大。 6.犹块垒。胸中郁积的不平之气。 ,1. Stony mound (originally), high mountains (later). 2. Big obstacles or difficulties. 3. Mountain peak. 4. Seemingly towering. 5. Prominent, grand. 6. Gloomy.,PHENO,PHENO,《廣韻》昨回切《集韻》《韻會》徂回切《正韻》遵綏切，音摧。 + 《集韻》烏回切《韻會》魚回切《正韻》五回切，音巍。,Du Fu,杜甫,712,770,襄陽,襄阳市,巩义市,古柏行,,7 12,崔嵬枝幹郊原古，窈窕丹青戶牖空。,Old are giant trees with huge branches on the outskirt plain; empty are the halls while pretty things remain.,Cuīwéi zhī gàn jiāo yuán gǔ, yǎotiǎo dānqīng hùyǒu kōng.,78,七言古诗,http://zh.wikisource.org/wiki/%E5%8F%A4%E6%9F%8F%E8%A1%8C,,,,,,
114,cuīwéi,崔嵬,崔嵬,80,PR,VISUAL,towering,*dzwoj~*ngwoj,P~P,RHYME,1.本指有石的土山。后泛指高山。2.比喻巨大的障碍或困难。3.山顶。4.高耸貌；高大貌。5.显赫；盛大。 6.犹块垒。胸中郁积的不平之气。 ,1. Stony mound (originally), high mountains (later). 2. Big obstacles or difficulties. 3. Mountain peak. 4. Seemingly towering. 5. Prominent, grand. 6. Gloomy.,PHENO,PHENO,《廣韻》昨回切《集韻》《韻會》徂回切《正韻》遵綏切，音摧。 + 《集韻》烏回切《韻會》魚回切《正韻》五回切，音巍。,Li Bai,李白,701,762,綿州,省江油市,托克马克,蜀道難,,5 45,劍閣崢嶸而崔嵬，一夫當關，萬夫莫開。,Jiange is a stronghold very lofty and steep; which ten-thousand fail to seize with one man to keep.,Jiàngé zhēng róng ér cuīwéi, yīfū dāng guān, wàn fū mò kāi.,136,乐府,http://zh.wikisource.org/wiki/%E8%9C%80%E9%81%93%E9%9B%A3_(%E6%9D%8E%E7%99%BD),,,,,
73,cuó'é,嵯峨,嵯峨,53,AD,VISUAL,towering,#tsha~#nga,P~P,RHYME,1.山高峻貌。2.指高耸的山。 3.屹立。 4.坎坷不平。 5.形容盛多。,1. Mountains appearing very high. 2. Towering mountains. 3. Gigantically towering. 4. Bumpy. 5. Describes abundance.,PHENO,PHENO,《集韻》《韻會》《正韻》倉何切，音磋。 + 《廣韻》五何切《集韻》《韻會》《正韻》牛何切，音莪。,Han Yu,韓愈,768,824,河陽,孟縣,昌黎,石鼓歌,,7 67,鐫功勒成告萬世，鑿石作鼓隳嵯峨。,"Rocks were chopped off the cliffs and chipped into form of drum, whereon their feats were carved to show generations to come; the arts of courtiers that wrote and carved were of the first rate, at last the finished Stone Drums in a valley corner state.",Juān gōng lēi chéng gào wànshì, záo shí zuò gǔ huī cuó'é.,97,七言古诗,http://zh.wikisource.org/wiki/%E7%9F%B3%E9%BC%93%E6%AD%8C_(%E9%9F%93%E6%84%88),,,,,,,,
74,cuōtuó,蹉跎,蹉跎,54,UT,EVALUATION,wasted time,#tsha~#da,P~P,RHYME,1.失足。2.失时。 3.衰退。 4.失意；虚度光阴。 5.参差不齐貌。 6.阻挠。 ,1. Slippery. 2. Missing the moment. 3. Receding. 4. Frustrated because of wasted time. 5. Seemingly uneven. 6. Obstructed.,PSYCHO,PHEPSY,《唐韻》七何切《集韻》《韻會》《正韻》倉何切，音磋。 + 《廣韻》徒何切《集韻》《韻會》《正韻》唐何切，音駝。,Han Yu,韓愈,768,824,河陽,孟縣,昌黎,石鼓歌,,7 67,石鼓之歌止於此，嗚呼吾意其蹉跎。,"And here must be ended my poor Ode to the Stone Drums; but alas, would that my intention might not to naught come!",Shí gǔ zhī gē zhǐ yú cǐ, wūhū wúyì qí cuōtuó.,97,七言古诗,http://zh.wikisource.org/wiki/%E7%9F%B3%E9%BC%93%E6%AD%8C_(%E9%9F%93%E6%84%88),,,,,,,,
155,cuōtuó,蹉跎,蹉跎,115,PR,TIME+EVALUATION,wasted time,#tsha~#da,P~P,RHYME,1.失足。2.失时。 3.衰退。 4.失意；虚度光阴。 5.参差不齐貌。 6.阻挠。 ,1. Slippery. 2. Missing the moment. 3. Receding. 4. Frustrated because of wasted time. 5. Seemingly uneven. 6. Obstructed.,PHENO,PHEPSY,《唐韻》七何切《集韻》《韻會》《正韻》倉何切，音磋。 + 《廣韻》徒何切《集韻》《韻會》《正韻》唐何切，音駝。,Li Qi,李頎,690,751,赵郡,赵县市,登封,送魏萬之京,,7 67,莫見長安行樂處，空令歲月易蹉跎。,Don't take Chang'an City just for a place for gaiety; and let your months and years be wasted in vanity!,Mò jiàn cháng'ān xínglè chù, kōng lìng suìyuè yì cuō tuó.,247,七言律诗,http://zh.wikisource.org/wiki/%E9%80%81%E9%AD%8F%E8%90%AC%E4%B9%8B%E4%BA%AC,,,,,,,,
46,dàndàn,澹澹,澹澹,31,PR,MOVEMENT,ripple,*damX~damX,S~S,RED,1.荡漾貌。 2.吹拂貌。3.恬静貌。4.广漠貌。5.颜色淡；不浓。 ,1.  Rippling. 2. Blowing. 3. Tranquil. 4. Expansive. 5. Lightly coloured.,PHENO,PHENO,《廣韻》《正韻》徒覽切《集韻》《韻會》杜覽切，談上聲。,Li Bai,李白,701,762,綿州,省江油市,托克马克,夢遊天姥吟留別,,6 23,雲青青兮欲雨，水澹澹兮生煙。,"It looks like rain, so densely are the clouds clustering; o'er the rippling limpid water, mist is gathering.",Yún qīngqīng xī yù yǔ, shuǐ dàn dàn xī shēng yān.,64,七言古诗,http://zh.wikisource.org/wiki/%E5%A4%A2%E9%81%8A%E5%A4%A9%E5%A7%A5%E5%90%9F%E7%95%99%E5%88%A5,,,,,,,,
44,dàngyàng,荡漾,蕩漾,30,PR,MOVEMENT,rise,*dangH~#yangH,Q~Q,RHYME,1.水波微动。 2.引申指物体在水中起伏波动。 3.思想、情绪等起伏波动。4.飘扬；飘拂。 5.引申为吹拂。 6.浮动；浮现。,1. Slightly moving waves. 2. Rising and falling in the water (metonymy). 3. Thoughts and emotions rising and faling. 4. Flying, flowing. 5. Blowing (metonymy). 6. Floating, emerging.,PHENO,PHENO,《唐韻》徒朗切《集韻》《韻會》待朗切，音盪。 + 《唐韻》《韻會》《正韻》餘亮切《集韻》弋亮切，音。,Li Bai,李白,701,762,綿州,省江油市,托克马克,夢遊天姥吟留別,,7 34,謝公宿處今尚在，淥水蕩漾清猨啼。,Where the poet Xie once lived is seen to remain; clear water waves and gibbons wail with might and main.,Xiè gōng sù chù jīn shàng zài, lù shuǐ dàngyàng qīng yuán tí.,64,七言古诗,http://zh.wikisource.org/wiki/%E5%A4%A2%E9%81%8A%E5%A4%A9%E5%A7%A5%E5%90%9F%E7%95%99%E5%88%A5,,,,,,
68,dànrán,澹然,澹然,49,BG,COGNITIVE_STATE,calm,*damX-*nyen,S-P,RAN,1.恬淡貌。2.安定貌；安静貌。,1. Seeming tranquil. 2. Seeming stable and quiet.,PHENO,PHENO,《廣韻》《正韻》徒覽切《集韻》《韻會》杜覽切，談上聲。 + 《唐韻》《集韻》《類篇》《韻會》《正韻》如延切，音。,Liu Zongyuan,柳宗元,773,819,河東,永济市,,晨詣超師院讀禪經,,5 12,澹然離言說，悟悅心自足。,"A feeling of calm beyond words has seized on me; conscious of bliss, of course contented I should be.",Dànrán lí yánshuō, wù yuè xīn zìzú.,43,五言古诗,http://zh.wikisource.org/wiki/%E6%99%A8%E8%A9%A3%E8%B6%85%E5%B8%AB%E9%99%A2%E8%AE%80%E7%A6%AA%E7%B6%93,,,,,,,,
181,dànrán,澹然,澹然,136,PR,MOVEMENT,tranquil,*damX-*nyen,S-P,RAN,1.恬淡貌。2.安定貌；安静貌。,1. Seeming tranquil. 2. Seeming stable and quiet.,PHENO,PHENO,《廣韻》《正韻》徒覽切《集韻》《韻會》杜覽切，談上聲。 + 《唐韻》《集韻》《類篇》《韻會》《正韻》如延切，音。,Wen Tingyun,溫庭筠,812,870,太原,祁縣,,利洲南渡,,7 12,澹然空水對斜暉，曲島蒼茫接翠微。,Over the limpid water reflect the slanting sun's rays; a winding isle merges in the vastness with the green hill.,Dànrán kōng shuǐ duì xiéhuī, qū dǎo cāngmáng jiē cuìwēi.,292,七言律诗,http://zh.wikisource.org/wiki/%E5%88%A9%E6%B4%B2%E5%8D%97%E6%B8%A1,,,,,,,,
22,fànfàn,泛泛,汎汎,16,AD,MOVEMENT,floating,*phjomH~phjomH,Q~Q,RED,亦作“泛泛”。亦作“氾氾”。 1.漂浮貌；浮行貌。2.引申为随波逐流。 3.水流貌。4.广大无边际貌。5.充满貌。6.浮浅；寻常。,1. Seemingly floating. 2. Moving with the waves (metonymy). 3. Appearance of flowing water. 4. Seemingly endless. 5. Seemingly full. 6. Superficial, unusual.,PHENO,PHENO,《唐韻》《集韻》《韻會》孚梵切，音汎。,Wei Yingwu,韋應物,737,792,京兆,西安,,初發揚子寄元大校書,,5 12,悽悽去親愛，泛泛入煙霧。,Sadly to my dear freind I said good-bye; and into the vast mist my boat passed by.,Qī qī qù qīn'ài, fànfàn rù yānwù.,34,五言古诗,http://zh.wikisource.org/wiki/%E5%88%9D%E7%99%BC%E6%8F%9A%E5%AD%90%E5%AF%84%E5%85%83%E5%A4%A7%E6%A0%A1%E6%9B%B8,,,,,,,
177,fěicuì,翡翠,翡翠,132,O,VISUAL,green bird,#pejX~#tsjwijH,S~Q,CON,1.鸟名。嘴长而直，生活在水边，吃鱼虾之类。羽毛有蓝、绿、赤、棕等色，可做装饰品。2.指翠羽。用以装饰车服，编织帘帷。3.即硬玉。色彩鲜艳的天然矿石，主要用作装饰品和工艺美术品。,1. Bird […]. 2. Emerald like feathers, used in decoration […]. 3. Jadeite, used in decoration […].,PHENO,PHENO,《廣韻》扶涕切《集韻》父沸切，音費。 + 《廣韻》《集韻》《韻會》《正韻》七醉切，音綷。,Li Shangyin,李商隱,813,858,河內,临洮县,鄭州,無題之一,,7 67,蠟照半籠金翡翠，麝熏微度繡芙蓉。,"On half the caged golden halcyon, the candle light glistens; the must smell gently spreads to the lotus-embroidered curtain.",Là zhào bàn lóng jīn fěicuì, shè xūn wēi dù xiù fúróng.,285,七言律诗,http://zh.wikisource.org/wiki/%E7%84%A1%E9%A1%8C_(%E4%BE%86%E6%98%AF%E7%A9%BA%E8%A8%80%E5%8E%BB%E7%B5%95%E8%B9%A4),,,,,,
198,fēifēi,霏霏,霏霏,147,PR,WETNESS,dense rain,#pej~pej,P~P,RED,1.雨雪盛貌。2.泛指浓密盛多。3.飘洒，飞扬。 4.纷乱貌。,1. Rain and snow appearing abundant. 2. Thick and much. 3. Floating and flying in the air. 4. Seemingly chaotic.,PHENO,PHENO,《唐韻》芳非切《集韻》《韻會》《正韻》芳微切，音菲。,Wei Zhuang,韋莊,836,910,杜陵,西安,,金陵圖,,7 34,江雨霏霏江草齊，六朝如夢鳥空啼。,Drizzling rains fall o'er neat grass that on the riverside lies; Six Dynasties have passed by like dreams with birds' vain cries.,Jiāng yǔ fēifēi jiāngcǎo qí, liùcháo rú mèng niǎo kōng tí.,345,七言绝句,http://zh.wikisource.org/wiki/%E9%87%91%E9%99%B5%E5%9C%96,,,,,,,,
57,fēnfāng,芬芳,芬芳,40,O,VISUAL+EVALUATION,fine stuff,#pjun~*phjang,P~P,ALLIT,1.香；香气。2.比喻美好的德行或名声。 3.犹纷纷。,1. Fragrant, aromatic. 2. With a good reputation or name (metaphor). 3. Numerous but chaotic.,PHENO,PHENO,《唐韻》撫文切《集韻》《韻會》《正韻》敷文切，音紛。 + 《唐韻》《集韻》《正韻》敷方切，音妨。,Du Fu,杜甫,712,770,襄陽,襄阳市,巩义市,觀公孫大娘弟子舞劍器行並序,,7 67,絳脣珠袖兩寂寞，晚有弟子傳芬芳。,Both her ruby lips and pearled sleeves have long been gone; by her pupil her fine art is lately passed on.,Jiàng chún zhū xiù liǎng jìmò, wǎn yǒu dìzǐ chuán fēnfāng.,80,七言古诗,http://zh.wikisource.org/wiki/%E8%A7%80%E5%85%AC%E5%AD%AB%E5%A4%A7%E5%A8%98%E5%BC%9F%E5%AD%90%E8%88%9E%E5%8A%8D%E5%99%A8%E8%A1%8C%E4%B8%A6%E5%BA%8F,,,,,,,
50,fēnfēn,纷纷,紛紛,35,BG,VISUAL,numerous,#pjun~pjun,P~P,RED,1.乱貌。2.众多貌。3.烦忙；忙乱。,1. Seemingly chaotic. 2. Seemingly numerous. 3. Hectic.,PHENO,PHEPSY,《廣韻》府文切《集韻》《韻會》《正韻》敷文切，音芬。,Cen Shen,岑參,715,770,南陽,邓州市,荆州,白雪歌送武判官歸京,,7 12,紛紛暮雪下轅門，風掣紅旗凍不翻。,"O'er the camp gate is densely falling evening snow; the frozen flags won't flutter, though the winds hard blow.",Fēnfēn mùxuě xià yuánmén, fēng chè hóngqí dòng bù fān.,74,七言古诗,http://zh.wikisource.org/wiki/%E7%99%BD%E9%9B%AA%E6%AD%8C%E9%80%81%E6%AD%A6%E5%88%A4%E5%AE%98%E6%AD%B8%E4%BA%AC,,,,,,,,
103,fēnfēn,纷纷,紛紛,75,PR,VISUAL,numerous,#pjun~pjun,P~P,RED,1.乱貌。2.众多貌。3.烦忙；忙乱。,1. Seemingly chaotic. 2. Seemingly numerous. 3. Hectic.,PHENO,PHEPSY,《廣韻》府文切《集韻》《韻會》《正韻》敷文切，音芬。,Gao Shi,高適,716,765,渤海,景县,,燕歌行,,7 67,相看白刃血紛紛，死節從來豈顧勳。,"Each saw the other's white sword profusely stained with reb blood; when they were ready to die, o'er what rewards would they brood?",Xiāng kàn báirèn xuè fēnfēn, sǐ jié cónglái qǐ gù xūn.,128,乐府,http://zh.wikisource.org/wiki/%E7%87%95%E6%AD%8C%E8%A1%8C_(%E9%AB%98%E9%81%A9),,,,,,,,
48,fēnfēn,纷纷,紛紛,33,PR,VISUAL,numerous,#pjun~pjun,P~P,RED,1.乱貌。2.众多貌。3.烦忙；忙乱。,1. Seemingly chaotic. 2. Seemingly numerous. 3. Hectic.,PHENO,PHEPSY,《廣韻》府文切《集韻》《韻會》《正韻》敷文切，音芬。,Li Bai,李白,701,762,綿州,省江油市,托克马克,夢遊天姥吟留別,,9 56,霓爲衣兮風爲馬，雲之君兮紛紛而來下。,With the rainbows as clothes and the winds as horses; the lords of Clouds come swarming down in great forces.,Ní wèi yī xī fēng wèi mǎ, yún zhī jūn xī fēnfēn ér lái xià.,64,七言古诗,http://zh.wikisource.org/wiki/%E5%A4%A2%E9%81%8A%E5%A4%A9%E5%A7%A5%E5%90%9F%E7%95%99%E5%88%A5,,,,,,,,
125,fēnfēn,纷纷,紛紛,89,PR,VISUAL,numerous,#pjun~pjun,P~P,RED,1.乱貌。2.众多貌。3.烦忙；忙乱。,1. Seemingly chaotic. 2. Seemingly numerous. 3. Hectic.,PHENO,PHEPSY,《廣韻》府文切《集韻》《韻會》《正韻》敷文切，音芬。,Li Bai,李白,701,762,綿州,省江油市,托克马克,夜泊牛渚懷古,,5 45,明朝挂帆席，楓葉落紛紛。,To-morrow morning I will sail away; amid maple leaves fallen every-way.,Míng cháo guà fān xí, fēngyè luò fēnfēn.,176,五言律诗,http://zh.wikisource.org/wiki/%E5%A4%9C%E6%B3%8A%E7%89%9B%E6%B8%9A%E6%87%B7%E5%8F%A4,,,,,,,,
122,fēnlún,纷纶,紛綸,86,PR,MOVEMENT,hectic,#pjun~*lwin,P~P,RHYME,1.杂乱貌；众多貌。2.渊博。3.忙碌；忙乱。 4.华美。 ,1. Seeming messy and numerous. 2. Profound. 3. Hectic. 4. Gorgeous.,PHENO,PHEPSY,《廣韻》府文切《集韻》《韻會》《正韻》敷文切，音芬。 + 《廣韻》力迍切《集韻》《韻會》龍春切，音倫。,Du Fu,杜甫,712,770,襄陽,襄阳市,巩义市,麗人行,,7 67,犀箸饜飫久未下，鑾刀縷切空紛綸。,"Rhinoceros-horn chopsticks are kept still, for they all have eaten and drunk their fill; vainly are cooks busy in cutting things, whith the kitchen knives that can cause bells' rings.",Xī zhù yàn yù jiǔwèi xià, luán dāo lǚ qiè kōng fēn lún.,150,乐府,http://zh.wikisource.org/wiki/%E9%BA%97%E4%BA%BA%E8%A1%8C,,,,,,,,
104,fènxùn,奋迅,奮迅,76,O,MOVEMENT,run fast,*pjunH~#sinH,Q~Q,RHYME,1.形容鸟飞或兽跑迅疾而有气势。2.精神振奋，行动迅速。3.振起。,1. Describes birds flying or beasts running fast and ferosciously. 2. With inspired spirit and fast movement. 3. Raise up.,,,思晉切，音信。,Wang Wei,王維,699,759,祁县,祁县,永济市,老將行,,7 34,漢兵奮迅如霹靂，虜騎崩騰畏蒺藜。,"Like thunderbolt, the inspired Han soldiers sped on their way; far fear of hoof-traps, the dispersed enemies fled away.",Hàn bīng fènxùn rú pīlì, lǔ qí bēng téng wèi jílí.,133,乐府,http://zh.wikisource.org/wiki/%E8%80%81%E5%B0%87%E8%A1%8C_(%E7%8E%8B%E7%B6%AD),,,,,,,,
72,gǎogǎo,杲杲,杲杲,52,AT,VISUAL,bright,#kawH~kawH,Q~Q,RED,明亮貌。,Appearing very bright.,PHENO,PHENO,《唐韻》《集韻》《韻會》《正韻》古老切，音縞。,Han Yu,韓愈,768,824,河陽,孟縣,昌黎,謁衡嶽廟遂宿嶽寺題門樓,,7 12,猿鳴鐘動不知曙，杲杲寒日生於東。,"Monkeys cried, bells tolled, came unnoticed the dawning of the day; and in the east, a briljant, chilly sun had soon risen.",Yuán míng zhōng dòng bùzhī shǔ, gǎo gǎo hán rìshēng yú dōng.,94,七言古诗,http://zh.wikisource.org/wiki/%E8%AC%81%E8%A1%A1%E5%B6%BD%E5%BB%9F%E9%81%82%E5%AE%BF%E5%B6%BD%E5%AF%BA%E9%A1%8C%E9%96%80%E6%A8%93,,,,,,,,
157,gāogé,高阁,高閣,117,PR,VISUAL,towering,*kaw~*kak,P~P,ALLIT,1.高大的楼阁。2.置放书籍、器物的高架子。3.高高地搁置起来。谓弃置。4.星名。,1. Tall tower. 2. Placement of books and things on a high shelf. 3. Shelved highly. 4. Name of a star.,PHENO,PHENO,《廣韻》古勞切《集韻》《韻會》居勞切，音羔。 + 《唐韻》古洛切《集韻》剛鶴切《韻會》《正韻》葛鶴切，音各。,Wang Wei,王維,699,759,祁县,祁县,永济市,贈郭給事,,7 34,洞門高閣靄餘輝，桃李陰陰柳絮飛。,"Bathed in the setting sunshine are arch-door towers standing high; among shady leaves of peach and plum, willow catkins fly.",Dòngmén gāogé ǎi yú huī, táolǐ yīnyīn liǔxù fēi.,253,七言律诗,http://zh.wikisource.org/wiki/%E8%B4%88%E9%83%AD%E7%B5%A6%E4%BA%8B,,,,,,,,
79,gěnggěng,耿耿,耿耿,57,BG,VISUAL,bright,*keangX~keangX,S~S,RED,1.烦躁不安，心事重重。2.诚信貌。 3.指一片忠心。 4.明亮貌。5.显著；鲜明。6.超凡之貌。 7.上升貌。8.高远貌。,1. Irritable, preoccupied. 2. Seeming honest. 3. Loyalty. 4. Seeming bright. 5. Bright, distinct. 6. Appearing extraordinary. 7. Seeming rising. 8. Seeming lofty.,PHENO,PHEPSY,《唐韻》《集韻》《韻會》《正韻》古幸切，音。,Bai Juyi,白居易,772,846,太原,太原市,新郑,長恨歌,,7 12,遲遲鐘鼓初長夜，耿耿星河欲曙天。,"Late sounded the bell and the drum, the night began long to come; very bright was the Milky Way, heralding the dawning of the day.",Chí chí zhōng gǔ chū chángyè, gěnggěng xīnghé yù shǔ tiān.,102,七言古诗,http://zh.wikisource.org/wiki/%E9%95%B7%E6%81%A8%E6%AD%8C,,,,,,
147,gūdú,孤独,孤獨,108,AT,INNER_FEELINGS,lonely,*ku~*duwk,P~R,ASS,1.幼而无父和老而无子。2.孤立无援，孤单无助。3.只身独处；孤单寂寞。,1. Young without father or old without a son. 2. Isolated, lonely, helpless. 3. Alone, lonely.,PSYCHO,PSYCHO,《集韻》《韻會》《正韻》攻乎切，音姑。 + 《唐韻》《集韻》《韻會》徒谷切《正韻》杜谷切，音犢。,Cui Tu,崔塗,854,NA,江南,中國江南,富春江,除夜有懷,,5 12,亂山殘雪夜，孤獨異鄉春。,The mountains are filled with remnant snows in the night; I'm a homesick stranger by a lonely candle light.,Luàn shān cánxuě yè, gūdú yìxiāng chūn.,237,五言律诗,http://zh.wikisource.org/wiki/%E9%99%A4%E5%A4%9C%E6%9C%89%E6%87%B7_(%E5%B4%94%E5%A1%97),,,,,
107,gūgāo,孤高,孤高,39,BG,VISUAL+INNER_FEELINGS,alone tall,*ku~*kaw,P-P,ALLIT,1.孤立高耸。2.孤特高洁；孤傲自许。, 1. isolated and high. 2. alone and noble; proud,PHENO,PHEPSY,《唐韻》莫經切《集韻》《韻會》忙經切《正韻》眉兵切，音銘。,Du Fu,杜甫,712,770,襄陽,襄阳市,巩义市,古柏行,,7 12,落落盤據雖得地，冥冥孤高多烈風。,"Though this tall tree has its blessed place aloof to stand; lonely and high, it can hardly strong wind withstand.",Luòluò pán jù suī dé de, míng míng gūgāo duō lièfēng.,78,七言古诗,http://zh.wikisource.org/wiki/%E5%8F%A4%E6%9F%8F%E8%A1%8C,,,,,,,,
164,gǔngǔn,滚滚,滾滾,121,AD,MOVEMENT,gush,#kwonX~kwonH,S~S,RED,1.水涌流貌。 2.翻腾貌。 3.滔滔不绝貌。 4.谓迅速消逝。 5.浑圆饱满貌。 ,1. Water appearing to be rushing. 2. Seemingly churning. 3. Seemingly gushing. 4. Quickly fading away. 5. Looking round and plump.,PHENO,PHENO,《集韻》古本切，音袞。,Du Fu,杜甫,712,770,襄陽,襄阳市,巩义市,登高,,7 56,無邊落木蕭蕭下，不盡長江滾滾來。,Those falling leaves in boundless quantity are drifting in the air desolately; the water of the endless Yangtze River is surging on for ever and ever.,Wúbiān luòmù xiāoxiāo xià, bù jìn chángjiāng gǔngǔn lái.,261,七言律诗,http://zh.wikisource.org/wiki/%E7%99%BB%E9%AB%98,,,,,,,,
25,hàohào ,浩浩,浩浩,18,BG,VISUAL,abundant water,*hawX~hawX,S~S,RED,1.水盛大貌。2.广大无际貌。3.谓胸怀开阔坦荡。4.风势强劲貌。 5.声音宏大。6.引申为喧闹。,1. Water appearing to be abundant. 2. Seeming great and endless. 3. Magnanimous and open-minded. 4. Wind appearing very strong. 5. Grand and loud sound. 6. Noisy (metonymy),PHENO,PHOPHE,《唐韻》《正韻》胡老切《集韻》戸老切《韻會》合老切，音晧。,Wei Yingwu,韋應物,737,792,京兆,西安,,夕次盱眙縣,,5 12,浩浩風起波，冥冥日沈夕。,The wind stirs up huge waves with all its might; and dimly sets the sun out of the sight.,Hào hào fēng qǐ bō, míng míng rì chén xī.,37,五言古诗,http://zh.wikisource.org/wiki/%E5%A4%95%E6%AC%A1%E7%9B%B1%E7%9C%99%E7%B8%A3,,,,,,,,
145,hàorán,浩然,浩然,106,BG,EVALUATION,heroic,*hawX-*nyen,S-P,RAN,1.水盛大貌。2.广大壮阔貌。3.正大豪迈貌。 4.不可阻遏、无所留恋貌。,1. Water appearing to be abundant. 2. Seeming immense and magnificent. 3. Seeming grand and heroic. 4. Seeming irresistible and unforgettable.,PHENO,PHENO,《唐韻》《正韻》胡老切《集韻》戸老切《韻會》合老切，音晧。 + 《唐韻》《集韻》《類篇》《韻會》《正韻》如延切，音。,Wen Tingyun,溫庭筠,812,870,太原,祁縣,,送人東遊,,5 12,荒戍落黃葉，浩然離故關。,Yellow leaves are falling on the forlorn fortress; you leave the old pass in a way firm and dauntless!,Huāng shù luò huáng yè, hàorán lí gù guān.,233,五言律诗,http://zh.wikisource.org/wiki/%E9%80%81%E4%BA%BA%E6%9D%B1%E9%81%8A,,,,,,,,
200,huíhé,回合,迴合,148,PR,VISUAL,wind,*hwoj~*hop,P~R,ALLIT,1.缭绕；环绕。2.旧小说称两武将交锋一次为一个回合。3.现泛指双方较量一次。亦作“廻合”。,1. Wind around. 2. Old times: clash of two general's chariots. 3. Contest between two parties.,,,,Zhang Bi,张泌,ca. 950,ca. 950,淮南,淮南,句容,寄人,,7 34,別夢依依到謝家，小廊回合曲闌斜。,"I dreamed going to your home, reluctant from you to part; there were small corridors with slanting zigzag rails around.",Bié mèng yīyī dào xiè jiā, xiǎo láng huíhé qǔ lán xié.,346,七言绝句,,,,,,,,,
9,huīhuī,恢恢,恢恢,7,PR,VISUAL,large,#khwoj~khwoj,P~P,RED,1.宽阔广大貌。2.宽宏大度貌。,1. Seeming immense and wide. 2. Seeming large-minded, magnanimous.,PHENO,PHENO,《唐韻》苦回切《集韻》《正韻》枯回切，音魁。,Du Fu,杜甫,712,770,襄陽,襄阳市,巩义市,夢李白之二,,5 45,孰云網恢恢，將老身反累。,Who says the net of heaven has large meshes? When growing old, you are in such distress!,Shú yún wǎng huīhuī, jiāng lǎoshēn fǎn lèi.,10,五言古诗,http://zh.wikisource.org/wiki/%E5%A4%A2%E6%9D%8E%E7%99%BD_(%E6%B5%AE%E9%9B%B2%E7%B5%82%E6%97%A5%E8%A1%8C),,,,,,
71,huìmèi,晦昧,晦昧,51,PR,VISUAL,gloomy,*xwojH~*mwojH,Q~Q,RHYME,1.昏暗，阴暗。 2.犹愚昧。3.隐晦不明；模糊不清。 ,1. Dark. 2. Ignorant. 3. Obscure, blurred.,PHENO,PHENO,《唐韻》荒內切《集韻》《韻會》呼內切《正韻》呼對切，音誨。 + 《唐韻》《集韻》《韻會》《正韻》莫佩切，音妹。,Han Yu,韓愈,768,824,河陽,孟縣,昌黎,謁衡嶽廟遂宿嶽寺題門樓,,7 34,我來正逢秋雨節，陰氣晦昧無清風。,"Once in the autumn rainy season, there I had a ride; all was gloomy and dismal, of the breeze there wasn't a bit.",Wǒ lái zhèng féng qiūyǔ jié, yīn qì huì mèi wú qīng fēng.,94,七言古诗,http://zh.wikisource.org/wiki/%E8%AC%81%E8%A1%A1%E5%B6%BD%E5%BB%9F%E9%81%82%E5%AE%BF%E5%B6%BD%E5%AF%BA%E9%A1%8C%E9%96%80%E6%A8%93,,,,,,,
40,hūrán,忽然,忽然,27,BG,EVALUATION,suddenly,*xwot-*nyen,R-P,RAN,1.不经心，忽略。2.俄顷，一会儿。3.突然。4.偶然。5.恍惚；不明貌。6.尽；死。7.假如；倘或。,1. Careless. 2. For a while. 3. Suddenly. 4. Accidentally. 5. Appearing dim and vague. 6. Ending, dying. 7. Supposing, if,PHENO,PHENO,《唐韻》《集韻》《韻會》《正韻》呼骨切，音笏。 + 《唐韻》《集韻》《類篇》《韻會》《正韻》如延切，音。,Li Qi,李頎,690,751,赵郡,赵县市,登封,聽安萬善吹觱篥歌,,7 12,忽然更作漁陽摻，黃雲蕭條白日暗。,"All of a sudden, to Yuyang Drumbeats it comes; yellow clouds turn bleak to Spring in the Willow",Hūrán gēng zuò yú yáng càn, huáng yún xiāotiáo bái rì àn.,60,七言古诗,http://zh.wikisource.org/wiki/%E8%81%BD%E5%AE%89%E8%90%AC%E5%96%84%E5%90%B9%E8%A7%B1%E7%AF%A5%E6%AD%8C,,,,,,
