NUMBER,TRAD,SIMPL,PINYIN,SEMANTIC,FORM-CHAR,Old-Chinese,FORM-MECH,TITLE,PoemGroup,LINE,TRANSLATION,ZDIC,RICCI,,,,,
95,汎汎,泛泛,fànfàn,MOVEMENT,AA,,REDUPLICATION,菁 菁 者 莪,XiaoYa,汎汎楊舟、載沉載浮。,It floats about, - the willow boat, Now sinking, now rising again.,1. 漂浮。唐．杜甫．秋興詩八首之三：「信宿漁人還泛泛，清秋燕子故飛飛。」2. 尋常的、浮淺的。近平常。如：「泛泛之交」。3.充滿的樣子。黃帝內經素問．卷五．脈要精微論：「春日浮如魚之遊在波，夏日在膚，泛泛乎萬物有餘。」4. 水順流無阻的樣子。詩經．邶風．二子乘舟：「二子乘舟，汎汎其景。」5. 漂浮的樣子。文選．張衡．思玄賦：「乘天潢之汎汎兮，浮雲漢之湯湯。」6.普遍、廣博的樣子。,,,
97,肺肺 pèi pèi,肺肺 pèi pèi,fèi fèi,VISUAL,AA,,REDUPLICATION,東 門 之 楊 ,GuoFeng,東門之楊、其葉肺肺。,On the willows at the east gate, The leaves are dense.,形容植物生長茂盛的樣子。亦作「旆旆」、「芾芾」。詩經．陳風．東門之楊：「東門之楊，其葉肺肺。」,pèi pèi Florissant; exubérant; luxuriant.,,,,
98,霏霏,霏霏,fēi fēi,VISUAL,AA,,REDUPLICATION,采 薇,XiaoYa,今我來思、雨雪霏霏。,Now, when we shall be returning, The snow will be falling in clouds.,1. 雨雪煙雲盛密的樣子。宋．范仲淹．岳陽樓記：「若夫霪雨霏霏，連月不開。」三國演義．第三十七回：「忽然朔風凜凜，瑞雪霏霏。」2. 騰起飛揚的樣子。楚辭．屈原．九章．惜誦：「霰雪紛其無垠兮，雲霏霏而承宇。」3. 草木茂盛的樣子。唐．杜甫．宣政殿退朝晚出左掖詩：「宮草霏霏承委佩，鑪煙細細駐遊絲。」4. 淚流滿面的樣子。南朝梁．范雲．贈張徐州謖詩：「懷情徒草草，淚下空霏霏。」,"1. Abondante (neige, pluie ou rosée). Tomber à gros flocons. 2.(Pleurer) à chaudes larmes; couler abondamment (larmes). 3. Luxuriant; touffu. 4. Vapeurs denses. Brumeux; nuageux.",,,
99,騑騑,騑騑,fēifēi,MOVEMENT,AA,,REDUPLICATION,四 牡,XiaoYa,四牡騑騑、周道倭遲。,My four steeds advanced without stopping; The way from Zhou was winding and tedious.,馬不停蹄，向前急行的樣子。 詩經．小雅．四牡：「四牡騑騑，周道倭遲。」 漢．蔡琰．胡笳十八拍：「漢使迎我兮四牡騑騑，號失聲兮誰得知？」,fēi fēi Défiler sans interruption; avancer sans s’arrêter.,,,,,
100,騑騑,騑騑,fēifēi,MOVEMENT,AA,,REDUPLICATION,四 牡,XiaoYa,四牡騑騑、嘽嘽駱馬。,"My four steeds advanced without stopping; They panted and snorted, the white steeds black-maned.",馬不停蹄，向前急行的樣子。 詩經．小雅．四牡：「四牡騑騑，周道倭遲。」 漢．蔡琰．胡笳十八拍：「漢使迎我兮四牡騑騑，號失聲兮誰得知？」,fēi fēi Défiler sans interruption; avancer sans s’arrêter.,,,,,
101,騑騑,騑騑,fēifēi,MOVEMENT,AA,,REDUPLICATION,車 舝,XiaoYa,四牡騑騑、六轡如琴。,My four steeds advanced without stopping; The six reins [made music] in my hands like lute-[strings].,馬不停蹄，向前急行的樣子。 詩經．小雅．四牡：「四牡騑騑，周道倭遲。」 漢．蔡琰．胡笳十八拍：「漢使迎我兮四牡騑騑，號失聲兮誰得知？」,fēi fēi Défiler sans interruption; avancer sans s’arrêter.,,,,,
102,芬芬,芬芬,fēn fēn,SMELL,AA,,REDUPLICATION,信 南 山,XiaoYa,是烝是享、苾苾芬芬、祀事孔明。,"Then we present, then we offer; All round the fragrance is diffused. Complete and brilliant is the sacrificial service;",香氣濃郁。或作「飶飶」。詩經．小雅．信南山：「是蒸是享，苾苾芬芬，祀事孔明。」鄭玄．箋：「苾苾芬芬然，香祀禮於是則甚明也。」,,,,,,
103,芬芬,芬芬,fēn fēn,SMELL,AA,,REDUPLICATION,鳬 鷖,DaYa,旨酒欣欣、燔炙芬芬、,"Your fine spirits are delicious, Your flesh, roast and broiled, is fragrant;",香氣濃郁。或作「飶飶」。詩經．小雅．信南山：「是蒸是享，苾苾芬芬，祀事孔明。」鄭玄．箋：「苾苾芬芬然，香祀禮於是則甚明也。」,,,,,,
104,雰雰,氛氛,fēn fēn,VISUAL,AA,,REDUPLICATION,信 南 山 ,XiaoYa,上天同雲、雨雪雰雰。,The heavens over head are one arch of clouds, Snowing in multitudinous flakes.,1. 雨雪很盛的樣子。詩經．小雅．信南山：「上天同雲，雨雪雰雰。」漢．張衡．四愁詩四首之四：「我所思兮在鴈門，欲往從之雪雰雰。」2. 霜凝結的樣子。楚辭．屈原．九章．悲回風：「漱凝霜之雰雰，依風穴以自息兮。」,fēn fēn Nombreux. En grand nombre.,,,,
106,馮馮,冯冯,féng féng,SOUND,AA,,REDUPLICATION,緜,DaYa,築之登登、削屢馮馮、,"They beat it with responsive blows; They pared the walls repeatedly, and they sounded strong.",,féng féng Onomat. imitant le bruit de la terre que l’on tasse fermement.,,,,,
105,逢逢 péng péng,逢逢 péng péng,féng féng,SOUND,AA,,REDUPLICATION,靈 臺,DaYa,鼉鼓逢逢、朦瞍奏公。,The lizard-skin drums rolled harmonious, As the blind musicians performed their parts.,狀聲詞。形容鼓聲。 詩經．大雅．靈臺：「鼉鼓逢逢，矇瞍奏公。」,péng péng Onomat. imitant le son du tambour qui bat doucement.,,,,
107,唪唪,唪唪,fěng fěng,VISUAL,AA,,REDUPLICATION,生 民,DaYa,麻麥幪幪、瓜瓞唪唪。,His hemp and wheat grew strong and close; His gourds yielded abundantly.,多實的樣子。詩經．大雅．生民：「蓺之荏菽，荏菽旆旆，禾役穟穟，麻麥幪幪，瓜瓞唪唪。」,,,,,,
108,浮浮,浮浮,fú fú,MOVEMENT+VISUAL,AA,,REDUPLICATION,生 民,DaYa,釋之叟叟、烝之浮浮。,"It is rattling in the dishes; It is distilled, and the steam floats about.",1. 盛多的樣子。 詩經．小雅．角弓：「雨雪浮浮，見晛曰流。」2. 氣體上升的樣子。 詩經．大雅．生民：「釋之叟叟，烝之浮浮。」3. 行走的樣子。楚辭．屈原．九章．抽思：「悲秋風之動容兮，何回極之浮浮。」,1. Abondant. À grands flots. 2.Qui coule, qui circule (en parl. de l’eau, de l’air, etc.).,,
109,弗弗,弗弗,fú fú,SOUND+MOVEMENT,AA,,REDUPLICATION,蓼 莪,XiaoYa,南山律律、飄風弗弗。,The Southern hill is very steep; The rushing wind is blustering.,1. 風疾的樣子。亦作「發發」。詩經．小雅．蓼莪：「南山律律，飄風弗弗。」2. 固執不輕然允諾。墨子．親士：「君必有弗弗之臣，上必有詻詻之下。」, Rapide et violent (bruit du vent).,,,,,
110,浮浮,浮浮,fú fú,VISUAL,AA,,REDUPLICATION,角 弓,XiaoYa,雨雪浮浮、見晛曰流。,The snow may have fallen largely, But when it feels the sun's heat, it flows away.,1. 盛多的樣子。 詩經．小雅．角弓：「雨雪浮浮，見晛曰流。」2. 氣體上升的樣子。 詩經．大雅．生民：「釋之叟叟，烝之浮浮。」3. 行走的樣子。楚辭．屈原．九章．抽思：「悲秋風之動容兮，何回極之浮浮。」,1. Abondant. À grands flots. 2.Qui coule, qui circule (en parl. de l’eau, de l’air, etc.).
111,浮浮,浮浮,fú fú,VISUAL,AA,,REDUPLICATION,江 漢,DaYa,江漢浮浮、武夫滔滔。,Large was the volume of the Jiang and the Han, And the troops advanced like a flowing current.,1. 盛多的樣子。 詩經．小雅．角弓：「雨雪浮浮，見晛曰流。」2. 氣體上升的樣子。 詩經．大雅．生民：「釋之叟叟，烝之浮浮。」3. 行走的樣子。楚辭．屈原．九章．抽思：「悲秋風之動容兮，何回極之浮浮。」,1. Abondant. À grands flots. 2.Qui coule, qui circule (en parl. de l’eau, de l’air, etc.).,
112,茀茀,茀茀,fú fú,VISUAL,AA,,REDUPLICATION,皇 矣,DaYa,臨衝茀茀、崇墉仡仡。,"The engines of onfall and assault were vigorously plied, Against the walls of Chong very strong;",,1. Fort; vigoureux. 2. Florissant; touffu; dru.,,,,,
113,甫甫,甫甫,fǔ fǔ,VISUAL,AA,,REDUPLICATION,韓 奕,DaYa,魴鱮甫甫、麀鹿噳噳、,"Full of big bream and tench; With its multitudes of deer,",,1. Grand. 2. Nombreux.,,,,,
736,杲杲,杲杲,gǎo gǎo,VISUAL,AA,,REDUPLICATION,伯 兮,GuoFeng,其雨其雨、杲杲出日。,O for rain! O for rain! But brightly the sun comes forth.,形容日光明亮。詩經．衛風．伯兮：「其雨其雨，杲杲出日。」唐．韓愈．謁衡嶽廟遂宿嶽寺題門樓詩：「猿鳴鐘動不知曙，杲杲寒日生於東。」,,,,,,
114,皐皐/臯臯,皋皋/皋皋,gāo gāo,EVALUATION,AA,,REDUPLICATION,召 旻,DaYa,臯臯訿訿、曾不知其玷。,Insolent and slanderous, [The king] does not know a flaw in them.,,Ignorant; inculte; stupide; sot.,,,,
778,高高,高高,gāo gāo,VISUAL,AA,,REDUPLICATION,敬 之,ZhouSong,無曰高高在上、陟降厥士、日監在茲。,Let me not say that It is high aloft above me. It ascends and descends about our doings; It daily inspects us wherever we are.,,,,,,,
115,閣閤,阁合,gé hé,VISUAL,AA,,REDUPLICATION,斯 干 ,XiaoYa,約之閣閣、椓之橐橐。,"They bound the frames for the earth, exactly over one another; tuo-tuo went on the pounding",1. 端正的樣子。詩經．小雅．斯干：「約之閣閣，椓之橐橐。」2. 狀聲詞。形容蛙鳴的聲音。或作「閤閤」。,1. En bel ordre les uns au-dessus des autres ou à la suite les uns des autres (p. ex. : les éléments du coffrage d’un mur de terre en construction, qui sont liés les uns au-dessus des autres avec une parfaite régularité). 2. Onomat. imitant le coassement de la grenouille.,,,,
116,耿耿,耿耿,gěnggěng,FEELING,AA,,REDUPLICATION,柏 舟,GuoFeng,耿耿不寐、如有隱憂。,Disturbed am I and sleepless, As if suffering from a painful wound.,1. 光明安靜的樣子。唐．白居易．長恨歌:「遲遲鐘鼓初長夜，耿耿星河欲曙天。」2. 心中掛懷、煩躁不安的樣子。三國．魏．曹操．讓縣自明本志令：「言有不遜之志，忘相忖度，每用耿耿。」3. 輾轉反側，不得入眠的樣子。詩經．邶風．柏舟：「耿耿不寐，如有隱憂。」4. 形容誠信守節。楚辭．劉向．九歎．惜賢：「進雄鳩之耿耿兮，讒介介而蔽之。」,,,,,
117,灌灌,灌灌,guàn guàn,EVALUATION,AA,,REDUPLICATION,板,DaYa,老夫灌灌、小子蹻蹻。,"An old man, [I speak] with entire sincerity; But you, my juniors, are full of pride.",1. 水流盛大的樣子。宋書．卷三十一．五行志二：「虎從北來鼻頭汗，龍從南來登城看水從西來何灌灌。」2. 誠懇的樣子。詩經．大雅．板：「天之方虐，無然謔謔，老夫灌灌，小子蹻蹻。」3. 憂懼而無處傾訴的樣子。,1. À grands flots. 2. [Parler] avec sincérité, à cœur ouvert. 3. Concentré (de tristesse, de peine, de chagrin, que l’on ne peut décharger, communiquer).
118,管管,管管,guǎn guǎn,FEELING,AA,,REDUPLICATION,板 ,DaYa,靡聖管管、不實於亶。,"As there are not sages, you think you have no guidance; You have no reality in your sincerity.",1. 沒有依靠。詩經．大雅．板：「靡聖管管，不實於亶。」2.形容見識的狹小。如：「他那管管之見，聽聽就好，你又何須在意？」,,,,,,
119,痯痯,痯痯,guǎn guǎn,VISUAL+EVALUATION,AA,,REDUPLICATION,杕 杜,XiaoYa,檀車幝幝、四牡痯痯、征夫不遠。,His chariot of sandal wood must be damaged; His four horses must be worn out; My soldier cannot be far off.,,Abattu; découragé; épuisé (physiquement ou moralement).,,,,,
120,關關,关关,guān guān,SOUND,AA,,REDUPLICATION,關 雎,GuoFeng,關關雎鳩、在河之洲。,Guan-guan go the ospreys, On the islet in the river.,狀聲詞。形容鳥鳴的聲音。 詩經．周南．關雎：「關關雎鳩，在河之洲。」,Chant alterné des oiseaux. Les deux 雎鳩 jū jiū mâle et femelle se répondant.,,,,
121,洸洸,洸洸,guāng guāng,EVALUATION,AA,,REDUPLICATION,江 漢,DaYa,江漢湯湯、武夫洸洸。,Large flowed the Jiang and the Han, And grandly martial looked the troops.,1. guāng guāng 威武、果毅的樣子。詩經．大雅．江漢：「江漢湯湯，武夫洸洸。」唐．白居易．漢高皇帝斬白蛇賦：「天威煌煌，神武洸洸。」2. huǎng huǎng 形容水盛大的樣子。荀子．宥坐：「其洸洸乎不淈盡，似道。」,[a] guāng guāng 1. Brave; martial. 2. Reflets sur une eau agitée. [b] huǎng huǎng Qui arrive impétueusement; qui fait irruption (en parl. de l’eau).,,,,
122,浩浩,浩浩,hào hào,VISUAL,AA,,REDUPLICATION,雨 無 正,XiaoYa,浩浩昊天、不駿其德。,Great and wide Heaven, How is it you have contracted your kindness,,1. 水流盛大的樣子。 楚辭．屈原．九章．懷沙：「浩浩沅湘分流汩兮，脩路幽蔽道遠忽兮。」南朝宋．鮑照．夢歸鄉詩：「白水漫浩浩，高山壯巍巍。」2. 廣大的樣子。禮記．中庸：「夫焉有所倚，肫肫其仁，淵淵其淵，浩浩其天。」文選．古詩十九首．涉江采芙蓉：「還顧望舊鄉，長路漫浩浩。」3. 風勢強勁的樣子。漢．蔡琰．胡笳十八拍：「鞞鼓喧兮從夜達，胡風浩浩兮暗塞營。」4. 聲音洪大或喧雜。宋．蘇軾．鳳翔八觀詩．真興寺閣：「市人與鴉鵲，浩浩同一聲。」,1. Vaste; immense (comme l’océan). 2. Large d’esprit. 3. Violent; fort (se dit d’un vent). 4. Fort; étourdissant; assourdissant; tumultueux.,,,
123,好好,好好,hǎohǎo,FEELING,AA,,REDUPLICATION,巷 伯,XiaoYa,驕人好好、勞人草草。,The proud are delighted, And the troubled are in sorrow.,1. 很好、完好。或作「好好兒」。 水滸傳．第九十八回：「今已三年有餘，尸骸如何兀是好好地？」2. 認真、仔細。或作「好好兒」。 水滸傳．第三十七回：「梢公喝道：『你三個好好商量，快回我話。』」3. 平白無故、好端端的。或作「好好兒」。儒林外史．第三回：「你看，這不是瘋了麼？好好到貢院來耍。」4. 盡情的。形容程度深。如：「好好的大吃一頓。」,,,,,
124,翯翯,翯翯,hè hè,VISUAL,AA,,REDUPLICATION,靈 臺,DaYa,麀鹿濯濯、白鳥翯翯。,"The does, so sleek and fat; With the white birds glistening.",潔白肥潤的樣子。詩經．大雅．靈臺：「麀鹿濯濯，白鳥翯翯。」,,,,,,
125,熇熇,熇熇,hè hè,VISUAL+EVALUATION,AA,,REDUPLICATION,板 ,DaYa,多將熇熇、不可救藥 。,But the troubles will multiply like flames, Till they are beyond help or remedy.,1. 火勢熾盛的樣子，多指慘毒的惡政。詩經．大雅．板：「多將熇熇，不可救藥。」2. 興旺的樣子。明．劉基．靈丘丈人：「是何昔者之熇熇，而今日之涼涼也。」,,,,,
126,赫赫,赫赫,hèhè,EVALUATION,AA,,REDUPLICATION,出 車,XiaoYa,赫赫南仲、玁狁于襄。,Awe-inspiring was Nan Zhong; The Xian-yun were sure to be swept away!,1. 顯盛的樣子。史記．卷一二七．褚少孫補日者傳：「居赫赫之勢，失身且有日矣。」2.炎旱。莊子．田子方：「至陰肅肅，至陽赫赫。」,,,,,,
127,赫赫,赫赫,hèhè,EVALUATION,AA,,REDUPLICATION,出 車,XiaoYa,赫赫南仲、薄伐西戎。,The awe-inspiring Nan Zhong, Is smiting the Rong of the west.,1. 顯盛的樣子。史記．卷一二七．褚少孫補日者傳：「居赫赫之勢，失身且有日矣。」2.炎旱。莊子．田子方：「至陰肅肅，至陽赫赫。」,,,,,
128,赫赫,赫赫,hèhè,EVALUATION,AA,,REDUPLICATION,出 車,XiaoYa,赫赫南仲、玁狁于夷。,Awe-inspiring is Nan zhong; The Xian-yun are pacified.,1. 顯盛的樣子。史記．卷一二七．褚少孫補日者傳：「居赫赫之勢，失身且有日矣。」2.炎旱。莊子．田子方：「至陰肅肅，至陽赫赫。」,,,,,,
133,赫赫,赫赫,hèhè,EVALUATION,AA,,REDUPLICATION,常 武,DaYa,赫赫明明、王命卿士、,Grandly and clearly, The king gave charge to his minister,,1. 顯盛的樣子。史記．卷一二七．褚少孫補日者傳：「居赫赫之勢，失身且有日矣。」2.炎旱。莊子．田子方：「至陰肅肅，至陽赫赫。」,,,,
134,赫赫,赫赫,hèhè,EVALUATION,AA,,REDUPLICATION,常 武,DaYa,赫赫業業、有嚴天子。,Full of grandeur and strength, The Son of Heaven looked majestic.,1. 顯盛的樣子。史記．卷一二七．褚少孫補日者傳：「居赫赫之勢，失身且有日矣。」2.炎旱。莊子．田子方：「至陰肅肅，至陽赫赫。」,,,,,
131,赫赫,赫赫,hèhè,EVALUATION,AA,,REDUPLICATION,正 月,XiaoYa,赫赫宗周、褒姒滅之。,But the majestic honoured capital of Zhou, Is being destroyed by Si of Bao.,1. 顯盛的樣子。史記．卷一二七．褚少孫補日者傳：「居赫赫之勢，失身且有日矣。」2.炎旱。莊子．田子方：「至陰肅肅，至陽赫赫。」,,,,,
129,赫赫,赫赫,hèhè,EVALUATION,AA,,REDUPLICATION,節 南 山,XiaoYa,赫赫師尹、民具爾瞻。,Awe-inspiring are you, O [Grand] master Yin, And the people all look to you!,1. 顯盛的樣子。史記．卷一二七．褚少孫補日者傳：「居赫赫之勢，失身且有日矣。」2.炎旱。莊子．田子方：「至陰肅肅，至陽赫赫。」,,,,
130,赫赫,赫赫,hèhè,EVALUATION,AA,,REDUPLICATION,節 南 山,XiaoYa,赫赫師尹、不平謂何。,Awe-inspiring are you, O [Grand] master Yin, But how is it that you are so unjust?,1. 顯盛的樣子。史記．卷一二七．褚少孫補日者傳：「居赫赫之勢，失身且有日矣。」2.炎旱。莊子．田子方：「至陰肅肅，至陽赫赫。」,,,,
132,赫赫,赫赫,hèhè,EVALUATION,AA,,REDUPLICATION,大 明,DaYa,明明在下、赫赫在上。,The illustration of illustrious [virtue] is required below, And the dread majesty is on high.,1. 顯盛的樣子。史記．卷一二七．褚少孫補日者傳：「居赫赫之勢，失身且有日矣。」2.炎旱。莊子．田子方：「至陰肅肅，至陽赫赫。」,,,,,
136,赫赫,赫赫,hèhè,EVALUATION,AA,,REDUPLICATION,殷 武,ShangSong,赫赫厥聲、濯濯厥靈。,"Glorious was his fame; Brilliant, his energy.",1. 顯盛的樣子。史記．卷一二七．褚少孫補日者傳：「居赫赫之勢，失身且有日矣。」2.炎旱。莊子．田子方：「至陰肅肅，至陽赫赫。」,,,,,,
135,赫赫,赫赫,hèhè,EVALUATION,AA,,REDUPLICATION,閟 宮,LuSong,赫赫姜嫄、其德不回。,Highly distinguished was Jiang Yuan, Of virtue undeflected.,1. 顯盛的樣子。史記．卷一二七．褚少孫補日者傳：「居赫赫之勢，失身且有日矣。」2.炎旱。莊子．田子方：「至陰肅肅，至陽赫赫。」,,,,,
137,赫赫,赫赫,hèhè,VISUAL,AA,,REDUPLICATION,雲 漢,DaYa,赫赫炎炎、云我無所。,More fierce and fiery, It is leaving me no place.,1. 顯盛的樣子。史記．卷一二七．褚少孫補日者傳：「居赫赫之勢，失身且有日矣。」2.炎旱。莊子．田子方：「至陰肅肅，至陽赫赫。」,,,,,
140,薨薨,薨薨,hōng hōng,SOUND,AA,,REDUPLICATION,緜,DaYa,捄之陾陾、度之薨薨,Crowds brought the earth in baskets They threw it with shouts into the frames;,狀聲詞。形容蟲飛的聲音。詩經．齊風．雞鳴：「蟲飛薨薨，甘與子同夢。」,1. Onomat. imitant le bourdonnement d’une bande d’insectes ou un bruit sourd. 2. Prompt; rapide. 3. Nombreux (p. ex. : des descendants).,,,,,
138,薨薨,薨薨,hōng hōng,SOUND,AA,,REDUPLICATION,螽 斯,GuoFeng,螽斯羽、薨薨兮。,Ye locusts, winged tribes, How sound your wings in flight!,狀聲詞。形容蟲飛的聲音。詩經．齊風．雞鳴：「蟲飛薨薨，甘與子同夢。」,1. Onomat. imitant le bourdonnement d’une bande d’insectes ou un bruit sourd. 2. Prompt; rapide. 3. Nombreux (p. ex. : des descendants).,,,
139,薨薨,薨薨,hōng hōng,SOUND,AA,,REDUPLICATION,雞 鳴,GuoFeng,蟲飛薨薨、甘與子同夢。,The insects are flying in buzzing crowds; It would be sweet to lie by you and dream.,狀聲詞。形容蟲飛的聲音。詩經．齊風．雞鳴：「蟲飛薨薨，甘與子同夢。」,1. Onomat. imitant le bourdonnement d’une bande d’insectes ou un bruit sourd. 2. Prompt; rapide. 3. Nombreux (p. ex. : des descendants).,,,,,
141,膴膴,膴膴,hū hū,VISUAL,AA,,REDUPLICATION,緜,DaYa,周原膴膴、菫茶如飴。,The plain of Zhou looked beautiful and rich, With its violets and sowthistles [sweet] as dumplings.,肥美。詩經．大雅．綿：「周原膴膴，蓳荼如飴。」,,,,,
142,許許,许许,hǔ hǔ ,SOUND,AA,,REDUPLICATION,伐 木,XiaoYa,伐木許許、釃酒有藇。,Xu-xu they go, as they fell the trees. I have strained off my spirits, till they are fine,,眾人共同出力時所發的聲音。詩經．小雅．伐木：「伐木許許，釃酒有藇。」,Bruit régulier et fort fait par un groupe de travailleurs (p. ex. : bruit de plusieurs haches).,,
143,桓桓,桓桓,huán huán,EVALUATION,AA,,REDUPLICATION,桓,ZhouSong,桓桓武王、保有厥士。,The martial king Wu, Maintained [the confidence of] his officers,,威武勇猛的樣子。詩經．魯頌．泮水：「桓桓于征，狄彼東南。」文選．王粲．從軍詩五首之二：「我君順時發，桓桓東南征。」,,,,
144,桓桓,桓桓,huán huán,EVALUATION,AA,,REDUPLICATION,泮 水,LuSong,桓桓于征、狄彼東南。,With martial energy conducting their expedition, Will drive far away those tribes of the east and south.,威武勇猛的樣子。詩經．魯頌．泮水：「桓桓于征，狄彼東南。」文選．王粲．從軍詩五首之二：「我君順時發，桓桓東南征。」,,,,,
777,嬛嬛,嬛嬛,huán huán,VISUAL+EVALUATION,AA,,REDUPLICATION,閔 予 小 子,ZhouSong,閔予小子、遭家不造、嬛嬛在疚。,Alas for me, who am [as] a little child, On whom has devolved the unsettled State! Solitary am I and full of distress.,1. 孤獨無所依怙的樣子。詩經．周頌．閔予小子：「遭家不造，嬛嬛在疚。」亦作「煢煢」。2. 柔媚的樣子。史記．卷一一七．司馬相如傳：「柔橈嬛嬛。」司馬貞．索隱引郭璞曰：「柔橈嬛嬛，皆骨體耎弱長豔貌也。」,,,,
742,渙渙,涣涣,huàn huàn,VISUAL,AA,,REDUPLICATION,溱 洧,GuoFeng,溱與洧、方渙渙兮。,The Zhen and Wei, Now present their broad sheets of water.,1. 水勢盛大的樣子。詩經．鄭風．溱洧：「溱與洧，方渙渙兮。」唐．柳宗元．道州文宣王廟碑：「畇畇其原，既夷且大。渙渙其流，實環於外。」2. 光亮的樣子。晉．傅玄．紫華賦：「煥若珊瑚之萃英，渙渙昱昱，而奪人目精。」,,,,,
145,喤喤,喤喤,huáng huáng,SOUND,AA,,REDUPLICATION,斯 干,XiaoYa,其泣喤喤、朱芾斯皇、室家君王。,Their cry will be loud. They will be [hereafter] resplendent with red knee-covers, The [future] king, the princes of the land.,狀聲詞：(1)​ 形容小孩的啼哭聲。詩經．小雅．斯干：「乃生男子，載寢之床，載衣之裳，載弄之璋，其泣喤喤。」(2)​ 形容聲音洪亮而和諧。詩經．周頌．執競 :「鐘鼓喤喤，磬筦將將。」,Onomat. imitant les cris d’un enfant. Vagir.,,,
147,喤喤,喤喤,huáng huáng,SOUND,AA,,REDUPLICATION,執 競,ZhouSong,鐘鼓喤喤、磬筦將將、降福穰穰。,The bells and drums sound in harmony; The sounding stones and flutes blend their notes; Abundant blessing is sent down.,狀聲詞：(1)​ 形容小孩的啼哭聲。詩經．小雅．斯干：「乃生男子，載寢之床，載衣之裳，載弄之璋，其泣喤喤。」(2)​ 形容聲音洪亮而和諧。詩經．周頌．執競 :「鐘鼓喤喤，磬筦將將。」,Onomat. imitant les cris d’un enfant. Vagir.,,,,,
146,喤喤,喤喤,huáng huáng,SOUND,AA,,REDUPLICATION,有 瞽,ZhouSong,喤喤厥聲、肅雝和鳴、先祖是聽。,Harmoniously blend their sounds; In solemn unison they give forth their notes. Our ancestors will give ear;,狀聲詞：(1)​ 形容小孩的啼哭聲。詩經．小雅．斯干：「乃生男子，載寢之床，載衣之裳，載弄之璋，其泣喤喤。」(2)​ 形容聲音洪亮而和諧。詩經．周頌．執競 :「鐘鼓喤喤，磬筦將將。」,Onomat. imitant les cris d’un enfant. Vagir.,,,,,
767,黃黃,黄黄,huáng huáng,VISUAL,AA,,REDUPLICATION,都 人 士,XiaoYa,彼都人士、狐裘黃黃。,Those officers of the [old] capital, With their fox-furs so yellow,,,,,,
148,皇皇,皇皇,huánghuáng,EVALUATION,AA,,REDUPLICATION,假 樂,DaYa,穆穆皇皇、宜君宜王。,Of reverent virtue and admirable character, Fit to be rulers [of States], fit to be king,,1.美盛鮮明的樣子。詩經．小雅．皇皇者華：「皇皇者華，於彼原隰。」2.徬徨不安的樣子。亦作「惶惶」、「遑遑」。孟子．滕文公下：「孔子三月無君，則皇皇如也。」三國演義．第三十回：「袁紹既去了許攸，又去了張郃、高覽，又失了烏巢糧，軍心皇皇。」,,,
149,皇皇,皇皇,huánghuáng,EVALUATION,AA,,REDUPLICATION,泮 水,LuSong,烝烝皇皇、不吳不揚。,Vigorous and grand, Without noise or display,,1.美盛鮮明的樣子。詩經．小雅．皇皇者華：「皇皇者華，於彼原隰。」2.徬徨不安的樣子。亦作「惶惶」、「遑遑」。孟子．滕文公下：「孔子三月無君，則皇皇如也。」三國演義．第三十回：「袁紹既去了許攸，又去了張郃、高覽，又失了烏巢糧，軍心皇皇。」,,,,
150,皇皇,皇皇,huánghuáng,EVALUATION,AA,,REDUPLICATION,閟 宮,LuSong,皇皇后帝、皇祖后稷。,To the great and sovereign God, And to his great ancestor Hou-ji,,1.美盛鮮明的樣子。詩經．小雅．皇皇者華：「皇皇者華，於彼原隰。」2.徬徨不安的樣子。亦作「惶惶」、「遑遑」。孟子．滕文公下：「孔子三月無君，則皇皇如也。」三國演義．第三十回：「袁紹既去了許攸，又去了張郃、高覽，又失了烏巢糧，軍心皇皇。」,,,,
151,皇皇,皇皇,huánghuáng,VISUAL,AA,,REDUPLICATION,皇 皇 者 華,XiaoYa,皇皇者華、于彼原隰。,Brilliant are the flowers, On those level heights and the low grounds.,1.美盛鮮明的樣子。詩經．小雅．皇皇者華：「皇皇者華，於彼原隰。」2.徬徨不安的樣子。亦作「惶惶」、「遑遑」。孟子．滕文公下：「孔子三月無君，則皇皇如也。」三國演義．第三十回：「袁紹既去了許攸，又去了張郃、高覽，又失了烏巢糧，軍心皇皇。」,,,,,
153,煌煌,煌煌,huánghuáng,VISUAL,AA,,REDUPLICATION,大 明,DaYa,牧野洋洋、檀車煌煌、駟騵彭彭。,The evening was the time agreed on, And the morning star is shining bright.,光明的樣子。詩經．陳風．東門之楊：「東門之楊，其葉牂牂。昏以為期，明星煌煌。」,,,,,
152,煌煌,煌煌,huánghuáng,VISUAL,AA,,REDUPLICATION,東 門 之 楊,GuoFeng,昏以為期、明星煌煌。,The evening was the time agreed on, And the morning star is shining bright.,光明的樣子。詩經．陳風．東門之楊：「東門之楊，其葉牂牂。昏以為期，明星煌煌。」,,,,,
