type,item,meaning,example
,搖擺,2.形容行走時自得之貌。  ,  明 張居正 《奉諭整肅朝儀疏》： “進退行走， 舒徐搖擺。” 
,搖漾,2.飛貌。  ,《文選‧沈約＜詠湖中雁＞》： “刷羽同搖漾， 一舉還故鄉。” 
,搜,5.蕭疏貌。 參見“ 搜寥 ”。  ; 6.清冷貌。  ,NA;   宋 蘇轍 《買炭》詩： “苦寒搜入骨， 絲纊莫能禦。”參見“ 搜搜 ”。  
,搜搜,1.清冷貌。 ,  宋 無名氏 《張協狀元》戲文第一齣： “強人不管他說……左手捽住 張協 頭稍， 右手扯住一把光霍霍冷搜搜鼠尾樣刀。” 
,搜索,2.往來貌；接續貌。  ,《文選‧王褒＜洞簫賦＞》： “玄猿悲嘯， 搜索乎其間。” 
,搭撒,1.猶搭剌。 低垂貌。 ,  元 朱庭玉 《青杏子‧歸隱》套曲： “拖藜杖芒鞋剌塔， 穿布袍麻絛搭撒。” 
,搭颯,1.下垂貌。 ,  元 無名氏 《盆兒鬼》第三摺： “你看這白鬚搭颯， 的是像個賊。” 
,搰搰,1.用力貌。 ,《莊子‧天地》： “﹝ 子貢 ﹞見一丈人， 方將為圃畦， 鑿隧而入井， 抱甕而出灌， 搰搰然用力甚多而見功寡。” 
,摵,1.殞落、萎謝貌。  ; 2.謂沮喪貌。  ,《文選‧潘岳〈秋興賦〉》： “庭樹摵以灑落兮， 勁風戾而吹帷。” ;   唐 陸龜蒙 《戰秋辭》： “雲風雨煙， 乘勝之勢驕；杉篁蕉蔓， 敗北之氣摵。” 
,摽,1.高舉貌。  ,《管子‧侈靡》： “摽然若冬雲之遠， 動人心之悲。” 
,撐撐,1.飽貌。 如： 糧倉裏的老鼠吃得撐撐飽。 ; 2.抽縮掙扎貌。  ,NA;   郭沫若 《孔雀膽》第三幕： “我把蜜棗拿去給兔子們吃， 大家都吃得上好， 但不一會一個二個都抽起筋來， 四腳四爪兒撐撐， 便通同鬧死了。”
,撒,6.驚覺貌；寒慄或戰慄貌。 參見“ 撒然 ”、“ 撒撒 ”。  ,NA
,撒撒,1.寒慄或戰慄貌。 ,  元 孟漢卿 《魔合羅》第二摺： “一會家烘烘的發熱似火燒， 一會家撒撒的增寒似水澆。” 
,撟然,1.剛強貌。 ; 2.翹起貌。  ,《荀子‧臣道》： “忠信而不諛， 諫爭而不諂， 撟然剛折端志而無傾側之心。” ; 《史記‧扁鵲倉公列傳》： “中庶子聞 扁鵲 言， 目眩然而不瞚， 舌撟然而不下。”
,撲剌剌,2.急奔貌。  ,《水滸傳》第三四回： “ 黃信 怕吃他們三個拿了， 壞了名聲， 只得一騎馬撲剌剌跑回舊路。”
,撲握,1.腳毛叢生貌。 ,  宋 梅堯臣 《和永叔內翰戲答》： “固勝兔子固勝鶴， 四蹄撲握長啄啄。” 
,撲撲,1.盛貌。 ; 3.塵土堆積或飛揚貌。 形容奔走勞頓。  ,  唐 白居易 《山石榴寄元九》詩： “山石榴， 一名山躑躅， 一名杜鵑花， 杜鵑啼時花撲撲。” ;   張天翼 《“新生”》： “他那件重甸甸的中裝大衣， 他那兩口重甸甸的小皮箱， 都是灰撲撲的樣子。” 
,撲楞,1.禽鳥張翅拍打貌。  ,《詩刊》1977年第2期： “驚得鳥雀撲楞飛， 震得桃花簌簌掉。” 
,撲簌,1.物體輕落貌。  ,  唐 劉叉 《雪車》詩： “小小細細如塵間， 輕輕緩緩成撲簌。” 
,撲簌簌,2.搖動或抖動貌。  ,  元 孟漢卿 《魔合羅》第二摺： “迭屑屑魂飛膽落， 撲速速肉顫身搖。” 
,撲索索,1.猶撲簌簌。 淚水不斷地下落貌。 ,  茅盾 《第一階段的故事》七： “ 程少奶奶 抓住了 何小姐 的手， 眼裏的淚珠就撲索索滾個不住。” 
,撲騰騰,1.氣盛貌。 ; 2.揚鞭策馬貌。  ,  元 無名氏 《殺狗勸夫》第二摺： “越惹他必丟疋搭的向罵兒這一場撲騰騰氣。” ;   元 喬吉 《金錢記》第一摺： “王孫乘駿馬， 撲騰騰金鞭裊落花。” 
,擁腫,5.臃腫。 淳樸自得貌。  ,《莊子‧庚桑楚》： “擁腫之與居， 鞅掌之為使。” 
,擺闔,1.形容舟行顛簸貌。 ,  唐 杜甫 《大曆三年春白帝城放船有詩凡四十韻》： “擺闔盤渦沸， 欹斜激浪輸。” 
,擻,2.顫抖貌。 參見“ 擻抖抖 ”。  ,II
,攕,1.手纖細貌。  ,《說文‧手部》： “攕， 好手貌。” 
,攕攕,1.手纖細貌。 ; 2.泛指纖細貌。  ,《說文‧手部》： “攕……《詩》曰‘攕攕女手’。” ;   唐 韓愈 《酬門盧四兄云夫院長望秋作》詩： “樓頭完月不共宿， 其奈就缺行攕攕。”
,攘,3.通“ 躟 ”。 疾行貌。  ,  漢 揚雄 《甘泉賦》： “猋駭雲迅， 奮以方攘。” 
,攘臂,1.捋起衣袖， 伸出胳膊。 常形容激奮貌。 ,《老子》： “上禮為之而莫之應， 則攘臂而扔之。” 
,攝攝,2.閃爍貌。  ,  明 湯顯祖 《邯鄲記‧備苦》： “則他眼似明珠， 攝攝的把人瞧。”
,攢蹄,1.馬急馳貌。 因前後蹄緊接， 狀如相聚， 故云。 ,  唐 韓愈 《汴泗交流贈張僕射》詩： “分曹決勝約前定， 百馬攢蹄近相映。” 
,支沙,2.趑趄， 行走困難貌。  ,  元 李致遠 《還牢末》第二摺： “把 僧住 支殺的拖將去， 連 賽娘 合撲的帶了一交。” 
,攸,1.水流貌。  ; 5.笑貌。 參見“ 攸爾 ”。  ,《說文‧攴部》： “攸， 行水也。” ; NA
,攸然,1.迅疾貌。 ; 2.閑適從容貌。  ,《孟子‧萬章上》： “昔者有饋生魚於 鄭子產 ， 子產 使校人畜之池。 校人烹之。 反命曰： ‘始舍之， 圉圉焉， 少則洋洋焉， 攸然而逝。 ’” 趙岐 注： “攸然， 迅走水趣深處也。” ;   明 高啟 《臨頓里》詩之十： “誰識先生樂， 攸然臥枕肱。” 
,攽,3.文采盛明貌。  ,  清 譚嗣同 《代大人撰贈奉政大夫任君墓志銘》： “世基徽懿， 文采攽戫。”
,放野,2.撒野， 粗魯沒禮貌。  ,  巴人 《姜尚公老爺列傳》七： “娘兒們不敢放野， 拋頭露面到路上屋外來說話。” 
,故常,3.舊貌。  ,  宋 曾鞏 《瀛州興造記》： “凡圮壞之屋， 莫不繕理， 復其故常。”
,敞罔,1.寬廣貌。 ; 2.失意貌。  ,NA; 《漢書‧司馬相如傳下》： “敞罔靡徙， 遷延而辭避。” 
,敦,3.獨處貌。  ; 1.聚攏貌。  ,《詩‧豳風‧東山》： “敦彼獨宿， 亦在車下。” ; 《詩‧大雅‧行葦》： “敦彼行葦， 牛羊勿踐履。” 
,敦然,1.淳厚貌；渾厚貌。 ; 2.粗厚結實貌。  ,  明 何景明 《送蕭文彧分教臨川序》： “君夙有聞於鄉， 博學明儀， 其量淵然， 其行敦然， 其堪是任， 無疑也。” ;   清 唐甄 《潛書‧省刑》： “ 山東 習用重刑‧杖以巨竹連根為之， 長八尺， 頭徑六寸， 厚五寸， 敦然方物也。” 
,整整,1.整齊嚴謹貌。 ,  唐 司空圖 《唐故太子太師致仕盧公神道碑》： “弟 賡 左補闕， 整整唯謹， 目為令人。” 
,數數,1.猶汲汲。 迫切貌。 ,《莊子‧逍遙游》： “彼其於世， 未數數然也。” 
,斁,2.盛貌。  ,《詩‧商頌‧那》： “庸鼓有斁， 萬舞有奕。” 
,斂斂,1.恭謹貌。 ; 2.同“ 瀲瀲 ”。 斂， 通“ 瀲 ”。 光波流動貌。  ; 3.同“ 瀲瀲 ”。 斂， 通“ 瀲 ”。 猶冉冉。 緩動貌。  ,《水經注‧河水三》引 北魏 崔浩 《廣德殿碑頌》： “恂恂 南秦 ， 斂斂推亡， 峨峨 廣德 ， 奕奕 焜煌 。” ;   唐 鄭谷 《夕陽》詩： “夕陽秋更好， 斂斂蕙蘭中。”一本作“ 瀲瀲 ”。  ;   唐 羅隱 《投湖南于常侍啟》： “仰蟾桂之高高， 恐無仙骨；睹魚鬐之斂斂， 忽有癡心。”
,斂然,1.聚集貌。 ; 2.自我約束貌。 指隱退。  ,《荀子‧非十二子》： “斂然聖王之文章具焉。” ;   宋 蘇轍 《次韻子瞻和淵明飲酒》之十九： “我友二三子， 兼有仕未仕， 青松出林秀， 豈獨私與己？斂然不求人， 而我自罍恥。”
,文,4.通“ 汶 ”。 不明貌。 參見“ 文文莫莫 ”、“ 文文墨墨 ”。  ,III
,文質彬彬,2.形容人舉止文雅有禮貌。  ,  元 費唐臣 《貶黃州》第三摺： “見如今御史臺威風凜凜， 怎敢向翰林院文質彬彬。” 
,斐,1.有文彩貌。  ; 2.發憤貌。 狂放貌。 參見“ 斐然 ”。  ; 3.穿鑿妄作貌。 參見“ 斐然 ”。  ,《詩‧小雅‧巷伯》： “萋兮斐兮， 成是貝錦。” ; NA; NA
,斐斐,1.文彩鮮明貌。 ; 2.輕淡貌。  ,《韓詩外傳》卷五： “如神龍變化， 斐斐文章， 大哉《關雎》之道也。” ; 《史記‧司馬相如列傳》： “郁郁斐斐， 眾香發越。” 
,斐然,1.文彩貌；顯著貌。 ; 2.穿鑿妄作貌。  ; 3.發憤貌；狂放貌。  ; 4.猶翩然。 輕快貌。  ,《漢書‧禮樂志》： “九歌畢奏斐然殊， 鳴琴竽瑟會軒朱。” ; 《魏書‧元深傳》： “頃 恒州 之人， 乞臣為刺史， 徽 乃斐然言不可測。” ;   三國 魏 曹丕 《與吳質書》： “ 德璉 常斐然有述作之意。” ; 《史記‧太史公自序》： “結 子楚 親， 使諸侯之士斐然爭入事 秦 。”參見“ 斐然嚮風 ”。
,斑,1.色彩駁雜；燦爛多彩貌。  ,《楚辭‧離騷》： “紛總總其離合兮， 斑陸離其上下。” 
,斑斑,1.斑點眾多貌。 ; 3.色彩鮮明貌。  ; 4.猶彬彬， 文雅貌。  ,  唐 李益 《寄贈衡州楊使君》詩： “湘竹斑斑 湘 水春， 衡陽 太守虎符新。” ;   唐 白居易 《利仁北街作》詩： “草色斑斑春雨晴， 利仁坊 北面西行。” ;   宋 蘇軾 《伏波將軍廟碑》： “自 漢 末至 五代 ， 中原避亂之人， 多家於此， 今衣冠禮樂， 蓋斑斑然矣， 其可復言棄乎？”
,斑斕,1.色彩錯雜燦爛貌。 ,  晉 王嘉 《拾遺記‧岱輿山》： “北有玉梁千丈， 駕玄流之上……玉梁之側， 有斑斕自然雲霞龍鳳之狀。” 
,斑駁,1.色彩錯雜貌。  ,  南朝 梁 江淹 《青苔賦》： “遂能崎屈上生， 斑駁下布。”一本作“ 班駮 ”。  
,斒斑,1.斑點眾多貌。 ; 2.文彩鮮明貌。  ,  唐 無名氏 《石榴》詩： “玉刻冰壺含露濕， 斒斑似帶 湘娥 泣。” ;   清 姚鼐 《偕陳渭仁吳子見朱引恬南濱游攝山》詩之一： “九月寒初未擬還， 江 南草樹正斒斑。” 
,斕斑,1.色彩錯雜貌。 ; 2.斑痕狼藉貌。 多形容淚點。  ,  唐 李賀 《河南府試十二月樂詞‧九月》詩： “露花飛飛風草草， 翠錦斕斑滿層道。” ;   宋 蘇軾 《琴枕》詩： “斕斑漬珠淚， 宛轉堆雲鬒。” 
,斖,1.勤勉貌。  ; 2.美盛貌。  ,《漢書‧王莽傳上》： “自公受策， 以至於今， 斖斖翼翼， 日新其德。” ; 《隋書‧經籍志二》： “窮聖人之至賾， 詳一代之斖斖。” 
,斗然,1.陡峭貌。 斗， 通“ 陡 ”。 ,  明 李夢陽 《泰山》詩： “斗然一峰上， 不信萬山開。” 
,料峭,2.來回擺動貌。  ,  唐 陸龜蒙 《記事》詩： “料峭採蓮船， 縱橫簸天浪。” 
,斬,10.通“ 儳 ”。 不齊貌。  ,《荀子‧榮辱》： “斬而齊， 枉而順， 不同而一。” 
,斬截,1.堅定不移貌；乾脆利落貌。 ; 2.清楚明白貌。  ,《朱子語類》卷六九： “只是見得這箇道理合當恁地， 便只斬截恁地做將去否？” 明 李贄 《四書評‧論語‧顏淵》： “‘政者， 正也。 子帥以正， 孰敢不正？’斬截！” ;   清 梁章鉅 《退庵隨筆‧官常二》： “至於錢穀帳目， 冊檔文卷， 則宜處處斬截， 時時日日， 皆可交代。” 
,斬斬,1.整肅貌；整齊貌。 ; 2.堆疊貌。  ; 3.鋒芒畢露貌。  ,  唐 韓愈 《曹成王碑》： “持官持身， 內外斬斬。” ;   唐 元稹 《和樂天送客游嶺南二十韻》： “曙潮雲斬斬， 夜海火燐燐。” ; 《新唐書‧李訓鄭注等傳贊》： “ 李訓 浮躁寡謀， 鄭注 斬斬小人。” 
,斬然,1.毅然果決貌。 ; 2.全新貌；分明貌。  ; 3.整肅貌；整齊貌。  ; 4.陡峭貌。  ,  金 王若虛 《＜道學發源＞後序》： “ 韓愈 《原道》曰： ‘ 孟軻 之死， 不得其傳。 ’其論斬然， 君子不以為過。” ;   宋 岳珂 《桯史‧王荊公》： “務汲引新進， 大更弊法， 而時事斬然一新。” ;   明 歸有光 《元忠張君家傳》： “ 元忠 為人楚楚， 門內外斬然， 雖盛暑燕坐， 未嘗解帶。” ;   明 高攀龍 《三時記》： “又里許， 山忽兩翼劈開， 斬然絕壁， 立地萬仞。”
,斬絕,1.陡峭貌。 ; 3.界限分明貌。  ; 4.乾脆利落貌。  ,  宋 蘇洵 《憶山送人》詩： “累累斬絕峰， 兀不相屬聯。” ;   唐 陸龜蒙 《記錦裾》： “始如不可辯別， 及諦視之， 條段斬絕分畫， 一一有去處。” ; 《水滸後傳》第十八回： “兄弟你真是好漢子， 每事做得斬絕！” 蕭軍 《八月的鄉村》三： “‘同志們－－一切要聽我的口令。 ’ 鐵鷹 隊長說話總是這樣斬絕。” 
,斷然,1.猶截然。 界線分明貌。 ,  宋 洪邁 《容齋三筆‧＜後漢書＞載班固文》： “ 班固 著《漢書》， 制作之工， 如英莖《咸》《韶》， 音節超詣……然至《後漢》中所載 固 之文章， 斷然如出兩手。” 
,方羊,1.即彷徉。 徘徊， 不自安貌。  ,《左傳‧哀公十七年》： “如魚竀尾， 衡流而方羊。 裔焉大國， 滅之將亡。” 
,施,1.旌旗搖曳貌。  ,NA
,旅距,3.矯健貌。  ,  宋 范成大 《胭脂井》詩之三： “腰支旅拒更神遊， 桃葉山 前水自流。”
,旋旋,3.回環貌。  ,  趙樸初 《柳營曲》： “看掌中輕舉翩翩， 驚足尖急奏旋旋。” 
,旟,3.揚起貌。  ,《詩‧小雅‧都人士》： “彼君子女， 卷髮如蠆……匪伊卷之， 髮則有旟。” 
,旭,1.日出光明貌。  ,《說文‧日部》： “旭……一曰明也。” 
,旭旭,1.日將出貌；日初出貌。 ; 2.得意驕傲之貌。  ; 4.同“ 頊頊 ”。 自失貌。  ,  漢 賈誼 《新書‧修政語下》： “君子將入其職， 則其於民也， 旭旭然如日之始出也。” ; 《爾雅‧釋訓》： “旭旭、蹻蹻， 憍也。” ; 《莊子‧天地》“ 子貢 卑陬失色， 頊頊然不自得” 唐 陸德明 釋文： “頊頊， 本又作旭旭， 許玉反， 李 （ 李頤 ）云： ‘自失貌。 ’”
,旴,1.日始出貌。  ,《易‧豫》“六三： 盱豫， 悔” 唐 陸德明 釋文： “ 姚 ( 姚信 )作‘旴’， 云： ‘日始出。 ’引《詩》： ‘旴日始旦。 ’”今本《詩‧邶風‧匏有苦叶》作“旭日始旦”。  
,昂,4.軒昂高傲貌。  ,  清 洪昇 《長生殿‧重圓》： “呈獨立， 鵠步昂， 偷低度， 鳳影藏。”參見“ 昂然 ”。
,昂然,1.高傲貌。 ; 2.特出鮮明貌。  ,  唐 韓愈 孟郊 《鬥雞聯句》： “大雞昂然來， 小雞竦而待。” ;   清 黃蛟起 《西神叢語‧蔣夢鶴》： “ 雲亭 來省女， 遇雨， 暫避義塾。 見一生踏石上， 兩足印昂然。”
,昆,7.通“ 焜 ”。 盛明貌。  ,《文選‧揚雄〈甘泉賦〉》： “樵蒸昆上， 配藜四施。” 
,昈,2.文采斑斕貌。  ,《方言》第十二： “昈， 文也。” 
,昊天,1.蒼天。 昊， 元氣博大貌。 ,《書‧堯典》： “乃命 羲 和 ， 欽若昊天， 曆象日月星辰， 敬授人時。” 
,昌,3.佼好貌。  ,《詩‧齊風‧猗嗟》： “猗嗟昌兮， 頎而長兮。” 
,昌昌,1.繁多貌。 ; 2.縱情貌。  ,  唐 李商隱 《春風》詩： “春風雖自好， 春物太昌昌。” ;   清 龔自珍 《上大學士書》： “有是非， 則必有感慨激奮， 感慨激奮而居上位， 有其力， 則所是者依， 所非者去；感慨激奮而居下位， 無其力， 則探吾之是非， 而昌昌大言之。”
,昌盛,1.盛多、繁集貌。 ,《詩‧齊風‧雞鳴》“朝既昌矣” 毛 傳： “朝已昌盛， 則君聽朝。” 
,昏昏,1.昏暗貌；陰暗貌。 ,  晉 王嘉 《拾遺記‧前漢下》： “ 樂浪 之東， 有背明之國……在 扶桑 之東， 見日出于西方， 其國昏昏常暗， 宜種百穀。” 
,星星,4.頭髮花白貌。  ,  晉 左思 《白髮賦》： “星星白髮， 生於鬢垂。” 
,映徹,2.晶瑩剔透貌。  ,  清 吳偉業 《行路難》詩之二： “中有青熒之朱火， 下有映徹之澄冰。”
,春容,2.青春的容貌。  ,《樂府詩集‧清商曲辭一‧子夜歌之三二》： “郎懷幽閨性， 儂亦恃春容。” 
,春熙,2.溫和歡樂貌。  ,  宋 歐陽修 《南獠》詩： “狂孽久不聳， 民物含春熙。”
,春風,6.比喻美貌。 參見“ 春風面 ”。  ,NA
,晏然,3.晴朗貌。  ,  漢 荀悅 《漢紀‧成帝紀四》： “天清晏然無雲。”
,晬,3.通“ 睟 ”。 溫潤貌。 參見“ 晬容 ”、“ 晬穆 ”。  ,NA
,晸,1.日出貌。  ,《集韻‧上靜》： “晸， 日出貌。”亦用于人名。  
,晻,1.陰暗貌。 參見“ 晻藹 ”、“ 晻濭 ”。  ; 2.盛貌。 參見“ 晻曖 ”。  ; 3.抑鬱貌。 參見“ 晻晻 ”。  ,NA; NA; III
,晻晻,1.黑暗貌；昏暗貌。 ; 3.抑鬱貌。  ; 2.迅速貌。  ,  漢 蔡邕 《愁霖賦》： “瞻玄雲之晻晻兮， 聽長空之淋淋。” ; 《楚辭‧劉向＜九嘆‧逢紛＞》： “心怊悵以永思兮， 意晻晻而自穨。” ; 《楚辭‧九辯》： “歲忽而遒盡兮。” 
,晻曖,1.昏暗貌。 ; 2.盛貌。  ,《文選‧王延壽＜魯靈光殿賦＞》： “遂排金扉而北入， 宵藹藹而晻曖。” ;   南朝 梁武帝 《朝雲曲》： “張樂陽臺歌上謁， 如寢如興芳晻曖。” 
,晻藹,2.盛貌。  ,《文選‧曹植＜王仲宣誄＞》： “榮曜當世， 芳風晻藹。” 
,暉暉,2.艷麗貌。  ; 3.清輝貌。  ,  隋 江總 《啄燕燕于飛應詔》詩： “二月春暉暉， 雙燕理毛衣。” ;   南朝 梁 虞騫 《視月》詩： “泠泠玉潭水， 映見蛾眉月。 靡靡露方垂， 暉暉光稍沒。” 
,暐曄,1.光彩奪目貌。  ; 3.顯赫貌；顯耀貌。  ,《文選‧左思＜吳都賦＞》： “崇 臨海 之崔嵬， 飾 赤烏 之暐曄。” ;   唐 權德輿 《數名詩》： “五侯誠暐曄， 榮甚或為辱。” 
,暗暗,2.幽靜貌。  ,  漢 揚雄 《甘泉賦》： “帷弸彋其拂汩兮， 稍暗暗而靚深。” 
,暗藹,1.眾多貌。  ; 2.遙遠貌。  ,《文選‧揚雄＜甘泉賦＞》： “儐暗藹兮降清壇， 瑞穰穰兮委如山。” ;   漢 張衡 《思玄賦》： “據開陽而頫視兮， 臨舊鄉之暗藹。” 
,暡曚,1.日光不明貌。 ,《集韻‧上董》： “暡， 暡曚， 日未明。” 
,暨,3.果毅貌。 參見“ 暨暨 ”。  ,NA
,暾,1.日初出貌。 因指代太陽。  ; 2.漸出貌。  ,《楚辭‧九歌‧東君》： “暾將出兮東方， 照吾檻兮扶桑。” ; 《文選‧潘岳〈射雉賦〉》： “暾出苗以入場， 愈情駭而神悚。” 
,曄,1.閃光貌。  ,  漢 張衡 《思玄賦》： “豐隆軯其震霆兮， 列缺曄其照夜。” 
,曄煜,1.聲之盛貌。 ; 2.光耀貌。 程善之《革命後感事和懷霜作即次其韻》之二： “神光曄煜起戈矛， 一夕功成贖百憂。”,《文選‧班固＜東都賦＞》： “鐘鼓鏗鍧， 管絃曄煜。”一本作“ 燁煜 ”。  ; NA
,曖然,1.昏暗不明貌。 ; 2.繁茂貌。  ,  南朝 宋 謝靈運 《過瞿溪山飯僧》詩： “同遊息心客， 曖然若可睹。” ;   唐 蔣防 《日暖萬年枝》詩： “誰道凌寒質， 從茲不曖然？”
,曛然,1.猶欣然。 自得貌。 ; 2.酒醉貌。  ,  漢 桓譚 《新論‧辨惑》： “乃以隆冬盛寒日， 令袒衣， 載以駟馬， 於 上林 昆明池 上環冰而馳。 御者厚衣狐裘， 甚寒戰， 而 仲都 獨無變色， 臥於池臺上， 曛然自若。” ;   元 關漢卿 《玉鏡臺》第二摺： “你便是醉中茶， 一啜曛然醒。”
,曜曜,1.光明顯赫貌。 ; 2.迅疾貌。  ,  南朝 宋 顏延之 《宋郊祀歌》之二： “月御案節， 星驅扶輪。 遙興遠駕， 曜曜振振。” ; 《樂府詩集‧清商曲辭二‧歡聞變歌六》： “駛風何曜曜， 帆上 牛渚磯 。”
,曠曠,1.廣大貌。 ; 2.光明貌；明亮貌。  ; 3.猶坦坦。 泰然自得貌。  ,《淮南子‧繆稱訓》： “言之用者， 昭昭乎小哉；不言之用者， 曠曠乎大哉。” ;   唐 韓愈 孟郊 《城南聯句》： “掃凈豁曠曠， 騁遙略苹苹。” ;   清 戴名世 《濤山先生詩序》： “飲一觴得一句焉， 吾醉而詩已就， 而曠曠然， 而熙熙然， 而無所介其懷也。”
,曠然,3.寬宏貌。  ; 4.虛空貌。  ; 5.開闊貌。  ,《後漢書‧度尚傳》： “獄吏謂 盤 曰： ‘天恩曠然而君不出， 可乎？’” ; 《雲笈七籤》卷六十： “至此常須少食， 務令腹中曠然虛淨。” ;   漢 王粲 《從軍詩》之五： “朝入 譙郡 界， 曠然消人憂。” 
,曣晛,2.和熙貌。  ,《晉書‧后妃傳上‧左貴嬪》： “曣晛沾濡， 柔潤中畿。”
,曳曳,1.飄動貌。 ; 2.遲緩貌。  ,  唐 孟浩然 《行至汝墳寄盧徵君》詩： “曳曳半空裏， 溶溶五色分。” ;   唐 元結 《說楚何惑王賦中》： “舒舒曳曳， 若多醇酎而不知所制。” 
,朅,2.武壯貌。  ,《詩‧衛風‧碩人》： “庶 姜 孽孽， 庶士有朅。” 
,朋,11.通“ 馮 ”。 盛怒貌。  ,《國語‧吳語》： “請王勵士， 以奮其朋勢。” 
,服,1.通“ 腷 ”。 鬱結貌。 參見“ 服臆 ”。  ,NA
,朏,1.新月初現貌。  ; 5.聚積貌。 參見“ 朏朏 ”。  ,《書‧召誥》： “三月， 惟丙午朏。” ; II
,朏朏,2.天未大亮貌。  ; 3.聚積貌。  ,《楚辭‧王逸＜九思‧疾世＞》“時昢昢兮且旦”原注： “昢， 一作朏。” ; 《西京雜記》卷六： “床上石枕一枚， 塵埃朏朏甚高， 似是衣服。” 
,朗然,1.光明貌。 ; 2.清澈貌；明白貌。  ; 3.疏朗貌。  ,《初學記》卷十九引《衛玠別傳》： “昨與吾外甥並坐， 炯然若明珠之在我側， 朗然來映人。” ; 《呂氏春秋‧士容》： “士不偏不黨， 柔而堅， 虛而實， 其狀朗然不儇， 若失其一。” ;   俞樾 《茶香室叢鈔‧東坡像》引 清 毛奇齡 《西河雜箋》： “鼻垂圜根細， 而鬚朗然。” 
,望望,1.瞻望貌；依戀貌。 ; 2.失望貌；掃興貌。  ; 3.急切盼望貌。  ,《禮記‧問喪》： “其往送也， 望望然， 汲汲然， 如有追而弗及也。” ; 《孟子‧公孫丑上》： “推惡惡之心， 思與鄉人立， 其冠不正， 望望然去之， 若將浼焉。” ;   唐 杜甫 《洗兵馬》詩： “田家望望惜雨乾， 布穀處處催春種。” 
,望羊,1.亦作“ 望洋 ”、“ 望佯 ”、“ 望陽 ”。 仰視貌；遠視貌。 ,《晏子春秋‧諫上六》： “ 杜扃 望羊待于朝。” 
,朣朦,2.微明貌。  ,  唐 陶翰 《宿天竺寺》詩： “湖色濃蕩漾， 海光漸朣朦。” 
,朣朧,1.月初出貌；微明貌。 ; 2.昏暗不清貌。  ,《文選‧潘岳＜秋興賦＞》： “月朣朧以含光兮， 露凄清以凝冷。” ;   唐 劉得仁 《宿普濟寺》詩： “待鳴曉鐘後， 萬井復朣朧。” 
,朦,1.微明貌。 參見“ 朦朧 ”、“ 朦朦 ”。  ; 2.模糊不明貌。 參見“ 朦朣 ”、“ 朦鬱 ”。  ,NA; NA
,朦昧,1.迷糊貌。 ,《素問‧氣交變大論》： “鬱冒朦昧， 心痛暴瘖。” 
,朦朦,1.迷惘貌。 ; 2.微明貌。  ,  漢 應劭 《風俗通‧愆禮‧河南尹太山羊翩祖》： “ 翩祖 位則亞卿， 雅有令稱， 義當綱紀人倫， 為之節文， 而首倡導犯禮違制， 使 東嶽 一郡朦朦焉， 豈不愍哉！” 明 袁宏道 《與錢象先書》： “數日前 白下 有人浪傳惡信， 僕驚愕， 殊朦朦。 訛言耶？……抑妒婦之口耶？” ;   清 褚人穫 《堅瓠餘集‧螢异》： “七月七夕， 納涼庭中， 月色朦朦。” 
,朦朧,1.微明貌。 ; 2.模糊不清貌。  ; 3.神志迷糊貌。  ,  唐 徐昌圖《臨江仙》詞： “今夜畫船何處， 潮平 淮 月朦朧。” ;   唐 王昌齡 《西宮春怨》詩： “斜抱雲和深見月， 朦朧樹色隱 昭陽 。” ;   唐 溫庭筠 《寒食前有懷》詩： “殘芳荏苒雙飛蝶， 晚睡朦朧百囀鶯。” 
,朧,1.月明貌；微明貌。 參見“ 朧月 ”、“ 朧明 ”、“ 朧朧 ”。  ; 2.昏暗貌。 參見“ 朧朧 ”。  ,NA; II
,朧朣,1.微明貌。 ,  唐 姚月華 《有期不至》詩： “月落星稀竟不來， 煙柳朧朣鵲飛去。” 
,朧朧,1.微明貌。 ; 2.昏暗貌。  ,  晉 夏侯湛 《秋可哀》詩： “月翳翳以隱雲， 星朧朧以投光。” ;   清 朱彝尊 《夏日瀛臺侍直紀事》詩之二： “朧朧深樹裏， 忽露九枝燈。”
,本態,1.原來的容貌。 ,  唐 白居易 《時世妝》詩： “妍蚩黑白失本態， 粧成盡是含悲啼。” 
,本質,2.指本來的狀貌。  ; 5.謂本來的質樸風貌。  ,  隋 薛道衡 《昭君辭》： “不蒙女史進， 更失畫師情。 娥眉非本質， 蟬鬢改真形。” ;   明 唐順之 《答皇甫百泉郎中》： “近得其詩讀之， 則已洗盡鉛華， 獨存本質， 幽玄雅淡， 一變而得古作者之精。” 
,朵,1.樹木枝葉花實下垂貌。 後多指花朵。  ,《說文‧木部》： “朵， 樹木垂朵朵也。” 
,杳冥,2.陰暗貌。  ,《文選‧張衡＜西京賦＞》： “奇幻儵忽， 易貌分形， 吞刀吐火， 雲霧杳冥。” 
,杳然,1.渺遠貌。 ,  漢 徐幹《中論‧治學》： “故學者， 如登山焉， 動而益高；如寤寐焉， 久而愈足。 顧所由來， 則杳然其遠。 以其難而懈之， 誤且非矣。” 
