arthur,thomas,traditional,simplified,radsup,morphology,MC,OC,variant,Kroll,zdic,note,id
liu2~luo4,liú~luò,流落,流落,水,NA,ljuw~lak,*ru~*kə.rˤak,NA,NA,飄泊流浪，潦倒失意。唐．鄭谷．江際詩：「那堪流落逢搖落，可得潸然是偶然。」三國演義．第二十七回：「因世亂流落江湖，聚眾五百餘人，劫掠為生。」近流浪、流離、落難,NA,915
liu2~li2,liú~lí,流離,流离,NA,NA,ljuw~lje,*ru~*[r]aj,NA,NA,流亡離散。漢書．卷四十五．蒯通傳：「今劉、項分爭，使人肝腦塗地，流離中野，不可勝數。」文選．陳琳．檄吳將校部曲文：「然周盛門戶，無辜被戮，遺類流離，湮沒林莽。」近飄泊、流浪、流落、流散光采絢爛的樣子。漢書．卷八十七．揚雄傳上：「曳紅采之流離兮，颺翠氣之冤延。」文選．王延壽．魯靈光殿賦：「彤彩之飾，徒何為乎？澔澔涆涆，流離爛漫。」眼淚或汗水滴落。文選．司馬相如．長門賦：「左右悲而垂淚兮，涕流離而從橫。」文選．嵇康．養生論：「夫服藥求汗，或有弗獲，而愧情一集，渙然流離。」一種青色寶石。漢書．卷九十六．西域傳上．罽賓國傳：「出封牛、水牛、象、大狗、沐猴、孔爵、珠璣、珊瑚、虎魄、璧流離。」亦作「琉璃」。貓頭鷹的別名。見「貓頭鷹」條。,NA,909
hao4~ran2,hào~rán,浩然,浩然,水,NA,hawX~nyen,*[g]ˤuʔ~*[n]a[n],NA,NA,廣闊盛大的樣子。晉書．卷四十一．劉寔傳：「懸車告老，二十餘年，浩然之志，老而彌篤。」唐．李白．日出行：「吾將囊括大塊，浩然與溟涬同科。」亦作「皓然」。不可阻遏，沒有留戀的樣子。孟子．公孫丑下：「夫出晝而王不予追也，予然後浩然有歸志。」唐．溫庭筠．送人東遊詩：「荒戍落黃葉，浩然離故關。」浩然之氣的省稱。宋．文天祥．正氣歌：「天地有正氣，雜然賦流形：下則為河嶽，上則為日星，於人曰浩然，沛乎塞蒼冥。」,NA,458
fu2~fu2,fú~fú,浮浮,浮浮,水,NA,bjuw~bjuw,*m.b(r)u~*m.b(r)u,NA,NA,盛多的樣子。詩經．小雅．角弓：「雨雪浮浮，見晛曰流。」氣體上升的樣子。詩經．大雅．生民：「釋之叟叟，烝之浮浮。」行走的樣子。楚辭．屈原．九章．抽思：「悲秋風之動容兮，何回極之浮浮。」,NA,383
jin4~jin4,jìn~jìn,浸浸,浸浸,水,NA,tsimH~tsimH,NA~NA,NA,"drop-by-drop, bit-by-bit, gradually",NA,is real ideophone?,649
qi1~liang2,qī~liáng,淒涼,凄凉,水,NA,tshej~ljang,NA~*C.raŋ,NA,NA,悲苦。唐．李白．笛別曹南群官之江南詩：「懷歸路綿邈，覽古情淒涼。」初刻拍案驚奇．卷十五：「今已歷盡淒涼，受人冷淡。」近悲涼、悲慘、淒慘反歡樂、喜慶亦作「悽涼」。形容環境孤寂、冷清。南朝梁．沈約．為臨川五九日侍太子宴詩：「淒涼霜野，惆悵晨鵾。」唐．皎然．與盧孟明別後宿南湖對月：「曠望煙霞盡，淒涼天地秋。」反熱鬧悲苦。如：「身世悽涼」。近苦楚亦作「淒涼」。,NA,1216
pi4~pi4,pì~pì,淠淠,淠淠,水,NA,phejH~phejH,*pʰˤi[t]-s~*pʰˤi[t]-s,NA,NA,繁盛的樣子。詩經．小雅．小弁：「有漼者淵，萑葦淠淠。」飄動的樣子。詩經．小雅．采菽：「其旂淠淠，鸞鸞嘒嘒。」,NA,1155
yin2~yin2,yín~yín,淫淫,淫淫,水,NA,yim~yim,*N.r[ə]m~*N.r[ə]m,NA,NA,流動的樣子。楚辭．劉向．九歎．離世：「河水淫淫情所願兮，顧瞻郢路終不返兮。」唐．柳宗元．天對：「黑水淫淫，窮於不姜。」增進的樣子。管子．內業：「冥冥乎不見其形，淫淫乎與我俱生。」行進的樣子。文選．揚雄．羽獵賦：「淫淫與與，前後要遮。」,NA,1919
yuan1~yuan1,yuān~yuān,淵淵,渊渊,水,NA,'wen~'wen,*[ʔ]ʷˤi[ŋ]~*[ʔ]ʷˤi[ŋ],NA,NA,靜深貌。禮記．中庸：「淵淵其淵，浩浩其天。」鼓聲。詩經．小雅．采芑：「伐鼓淵淵，振旅闐闐。」三國演義．第二十三回：「衡穿舊衣而入，遂擊鼓為漁陽三撾，音節殊妙，淵淵有金石聲。」,NA,2004
hun4~hun4,hùn~hùn,混混,混混,水,NA,hwonH~hwonH,NA~NA,NA,NA,波浪翻湧的樣子。孟子．離婁下：「源泉混混，不舍晝夜。」亦作「袞袞」、「滾滾」。元氣顯著的樣子。史記．卷一三○．太史公自序：「乃合大道，混混冥冥。」濁亂的樣子。楚辭．王逸．九思．悼亂：「時混混兮澆饡，哀當世兮莫知。」波浪的聲音。文選．枚乘．七發：「混混庉庉，聲如雷鼓。」苟且度過。如：「像我們這些庸材，只好混混日子了。」,alternatief:gǔn gǔn ㄍㄨㄣˇ ㄍㄨㄣˇ 波浪翻湧的樣子。孟子．離婁下：「源泉混混，不舍晝夜。」亦作「袞袞」、「滾滾」。,547
qing1~yang2,qīng~yáng,清揚,清扬,NA,NA,tshjeng~yang,*tsʰeŋ~*laŋ,NA,NA,形容眉目開朗有神。詩經．鄘風．君子偕老：「子之清揚，揚且之顏也。」引申為對人容貌神采的敬稱。唐．蔣防．霍小玉傳：「今日幸會，得睹清揚。」聊齋志異．卷一．王六郎：「拜識清揚，情逾骨肉。」形容聲音清亮悠揚。荀子．法行：「扣之其聲清揚而遠聞，其止輟然。」,NA,1289
qing1~ming2,qīng~míng,清明,清明,NA,NA,tshjeng~mjaeng,*tsʰeŋ~*mraŋ,NA,NA,清澈明淨。荀子．解蔽：「則湛濁在下而清明在上，則足以見鬚眉而察理矣。」唐．元稹．西縣驛詩：「去時樓上清明夜，月照樓前撩亂花。」近明朗、清朗、明亮反昏暗天下太平，政治有法度。詩經．大雅．大明：「肆伐大商，會朝清明。」漢書．卷二十二．禮樂志：「即位三十年，四夷賓服，百姓家給，政教清明。」反昏暗、腐敗精神清朗。淮南子．主術：「夫人主之聽治也，清明而不闇，虛心而弱志。」如：「神志清明」。近明朗、清朗聲音清澈響亮。唐．羊士諤．郡中即事詩三首之一：「鼓角清明如戰壘，梧桐搖落似貧居。」近明朗、清朗、明亮二十四節氣之一。國曆四月五日或六日。,NA,1286
huan4~huan4,huàn~huàn,渙渙,涣涣,水,NA,xwanH~xwanH,*qʷʰˤa[n]-s~*qʷʰˤa[n]-s,NA,NA,NA,NA,504
qu2~qu2,qú~qú,渠渠,渠渠,木,NA,gjo~gjo,*[g](r)a~*[g](r)a,NA,NA,深廣的樣子。詩經．秦風．權輿：「於我乎夏屋渠渠，今也每食無餘。」聊齋志異．卷二．紅玉：「腴田連阡，夏屋渠渠矣。」不寬泰的樣子。荀子．修身：「有法而無志其義，則渠渠然。」,NA,1309
feng2~feng2,féng~féng,渢渢,渢渢,水,NA,pjuwng~pjuwng,NA~NA,NA,NA,形容悠揚婉轉的中庸之聲。左傳．襄公二十九年：「美哉！渢渢乎！大而婉，險而易行，以德輔此，則明主也。」杜預．注：「渢渢，中庸之聲。」文明小史．第五十三回：「那兩個歌妓唱將起來，饒鴻生聽了聽，雖不懂他們唱的是什麼，倒也渢渢移人。」狀聲詞。形容宏大的聲音或風聲、水聲等。宋．石介．慶曆聖德頌詩：「大聲渢渢，震搖六合。」明．徐弘祖．徐霞客遊記．卷一上．遊九鯉湖日記：「晚坐祠前，新月正懸峰頂，俯挹平湖，神情俱朗；靜中渢渢，時觸雷漈聲。」,NA,380
you2~yan3,yóu~yǎn,游衍,游衍,水,NA,yuw~yenX,*[N-]ru~*N-q(r)anʔ,NA,NA,恣意縱遊。詩經．大雅．板：「昊天曰旦，及爾游衍。」唐．王維．桃源行：「出洞無論隔山水，辭家終擬長游衍。」,NA,1965
miao3~ran2,miǎo~rán,渺然,渺然,水,NA,mjiewX~nyen,*[m]ewʔ~*[n]a[n],NA,NA,悠遠。唐．趙嘏．江樓感舊詩：「獨上江樓思渺然，月光如水水如天。」,NA,1031
hun4~hun4,hùn~hùn,渾渾,浑浑,水,NA,hwonH-hwonH,*[g]ˤ[u]r~*[g]ˤ[u]r,NA,NA,水流暢盛的樣子。荀子．富國：「下得地利，中得人和，則財貨渾渾如泉源。」昏昧無知的樣子。北周．庾信．小園賦：「諒天造兮昧昧，嗟生民兮渾渾。」純樸。漢．揚雄．法言．問神：「虞夏之書渾渾爾，商書灝灝爾。」大的樣子。唐．韓愈．進學解：「上規姚姒，渾渾無涯，周誥殷盤，佶屈聱牙。」紛亂的樣子。素問．卷十．瘧論：「無刺渾渾之脈，無刺漉漉之汗。」,NA,546
wen1~wen1,wēn~wēn,溫溫,温温,水,NA,'won~’won,NA~NA,NA,NA,NA,NA,1581
zhen1~zhen1,zhēn~zhēn,溱溱,溱溱,水,NA,tsrin~tsrin,NA~NA,NA,NA,眾多、茂盛。詩經．小雅．無羊：「旐維旟矣，室家溱溱。」後漢書．卷四十．班彪傳下：「百穀溱溱，庶卉蕃蕪。」微微出汗的樣子。黃帝素問靈樞經．卷六．決氣：「腠理發泄，汗出溱溱，是謂津。」舒發開展的樣子。漢．揚雄．太玄經．卷二．進：「陽引而進，物出溱溱，開明而前。」,NA,2046
di1~li4,dī~lì,滴瀝,滴沥,水,NA,tek-lek,NA~NA,NA,dribbling droplets,狀聲詞。形容水滴落下的聲音。文選．王延壽．魯靈光殿賦：「動滴瀝以成響，殷雷應其若驚。」,also 瀝滴,281
you1~you1,yōu~yōu,滺滺,滺滺,水,NA,yuw~yuw,NA~NA,NA,NA,NA,NA,1957
piao1~yao2,piāo~yáo,漂搖,漂摇,NA,NA,phjew~yew,NA~*law,NA,NA,NA,NA,1172
piao1~piao1,piāo~piāo,漂漂,漂漂,水,NA,phjew~phjew,NA~NA,NA,NA,高飛的樣子。文選．賈誼．弔屈原文：「鳳漂漂其高逝兮，固自引而遠去。」漂浮流去。呂氏春秋．慎行論．求人：「沸水漂漂，九陽之山。」唐．杜甫．嚴氏溪放歌行：「天下甲馬未盡銷，豈免溝壑常漂漂。」,NA,1166
yan3~yang4,yǎn~yàng,演漾,演漾,水,NA,yenX~NA,*N-q(r)anʔ~NA,NA,NA,NA,NA,1773
mo4~mo4,mò~mò,漠漠,漠漠,水,NA,mak~mak,NA~NA,NA,NA,寂靜無聲。宋．秦觀．浣溪沙．漠漠輕寒詞：「漠漠輕寒上小樓，曉陰無賴似窮秋。」宋．蘇軾．漁父．漁父笑詞：「漁父笑，輕鷗舉，漠漠一家風雨。」密布羅列的樣子。唐．王維．積雨輞川莊作詩：「漠漠水田飛白鷺，陰陰夏木囀黃鸝。」唐．韋應物．賦得暮雨送李曹詩：「漠漠帆來重，冥冥鳥來遲。」分散布列的樣子。南朝齊．謝朓．游東田詩：「遠樹曖阡阡，生煙紛漠漠。」宋．陸游．病起詩：「斷香漠漠便支枕，芳草離離悔倚闌。」昏暗的樣子。唐．杜甫．秋日夔府詠懷奉寄鄭監李賓客一百韻詩：「兵戈塵漠漠，江漢月娟娟。」,NA,1055
lian2~lian2,lián~lián,漣漣,涟涟,水,NA,ljen~ljen,*[r]a[n]~*[r]a[n],NA,NA,哭泣流淚的樣子。詩經．衛風．氓：「不見復關，泣涕漣漣。既見復關，載笑載言。」,NA,826
jian4~jian4,jiàn~jiàn,漸漸,渐渐,水,NA,tsjem~tsjem,*[ts]am~*[ts]am,NA,NA,逐漸。儒林外史．第一回：「那黑雲邊上鑲著白雲，漸漸散去，透出一派日光來，照耀得滿湖通紅。」紅樓夢．第一回：「彼時雖有軍民來救，那火已成了勢，如何救得下？直燒了一夜方漸漸的熄去，也不知燒了幾家。」近慢慢、逐步、逐漸亦作「漸次」。,NA,595
yang4~yang4,yàng~yàng,漾漾,漾漾,水,NA,yangX~yangX,NA~NA,NA,NA,搖動的樣子。唐．王維．青谿詩：「漾漾泛菱荇，澄澄映葭葦。」唐．溫庭筠．太液池歌：「腥鮮龍氣連清防，花風漾漾吹細光。」,NA,1802
xi1~xi1,xī~xī,潝潝,潝潝,水,NA,xip~xip,NA~NA,NA,NA,朋比為奸，眾口附和的樣子。詩經．小雅．小旻：「潝潝訿訿，亦孔之哀。」亦作「翕翕」、「歙歙」。,id 701-703,1619
kui4~kui4,kuì~kuì,潰潰,溃溃,水,NA,hwojH~hwojH,*[gʷ]ˤ[ə]j-s~*[gʷ]ˤ[ə]j-s,NA,NA,擾亂的樣子。詩經．大雅．召旻：「昏椓靡共，潰潰回遹。」,NA,768
cheng2~cheng2,chéng~chéng,澄澄,澄澄,水,NA,dring~dring,*[d]rəŋ~*[d]rəŋ,NA,NA,NA,NA,182
ze2~ze2,zé~zé,澤澤,泽泽,NA,NA,draek~draek,*lˤrak~*lˤrak,NA,NA,NA,NA,2022
dan4~dan4,dàn~dàn,澹澹,澹澹,水,NA,damX~damX,*[l]ˤamʔ~*[l]ˤamʔ,NA,NA,水搖蕩的樣子。漢．曹操．觀滄海詩：「水何澹澹，山島竦峙。」唐．李白．夢遊天姥吟留別詩：「雲青青兮欲雨，水澹澹兮生煙。」恬靜的樣子。元．趙孟頫．虞美人．潮生潮落詞：「消沉萬古意無窮，盡在長空澹澹鳥飛中。」,NA,261
dan4~ran2,dàn~rán,澹然,澹然,水,NA,damX~nyen,*[l]ˤamʔ~*[n]a[n],NA,NA,恬靜的樣子。文選．揚雄．長楊賦：「使海內澹然，永亡邊城之災、兵革之患。」唐．柳宗元．晨詣超師院讀禪經詩：「澹然離言說，悟悅心自足。」水波搖動的樣子。唐．溫庭筠．利州南渡詩：「澹然空水帶斜暉，曲島蒼茫接翠微。」,NA,267
ji1~ji1,jī~jī,激激,激激,水,NA,kek~kek,*[k]ˤewk~*[k]ˤewk,NA,NA,水勢湍急的樣子。宋．蘇軾．和王蘇州侍太夫人觀燈詩二首之二：「翻翻緹騎走香塵，激激飛濤射火輪。」狀聲詞。形容急流的聲音。唐．韓愈．山石詩：「當流赤足蹋澗石，水聲激激風吹衣。」清澈、清澄。漢．無名氏．戰城南詩：「水深激激，蒲葦冥冥。」,NA,558
nong2~nong2,nóng~nóng,濃濃,浓浓,水,NA,nrjowng~nrjowng,*n<r>oŋ~*n<r>oŋ,NA,NA,濃厚、盛多的樣子。詩經．小雅．蓼蕭：「蓼彼蕭斯，零露濃濃。」如：「濃濃情意」。反淡淡,NA,1083
hui4~hui4,huì~huì,濊濊,濊濊,水,NA,xwat~xwat,*qʷʰˤat~*qʷʰˤat,NA,NA,魚網投入水中的聲音。詩經．魏風．碩人：「施罛濊濊，鱣鮪發發。」宋．蘇軾．戲作放魚詩：「濊濊發發須臾間，圉圉洋洋尋丈外。」,NA,539
ji3~ji3,jǐ~jǐ,濟濟,济济,水,NA,tsejX~tsejX,*[ts]ˤ[i]jʔ~*[ts]ˤ[i]jʔ,NA,NA,形容人多，陣容盛大。詩經．大雅．文王：「濟濟多士，文王以寧。」整齊雄美，有威儀的樣子。荀子．大略：「朝廷之美，濟濟鎗鎗。」文選．左思．詠史詩八首之四：「濟濟京城內，赫赫王侯居。」,NA,575
ru2~ran3,rú~rǎn,濡染,濡染,水,NA,nyu~nyemX,*no~*C.n[a]mʔ,NA,NA,感染、參雜。宋．蘇籀．遺言：「公言近世學問，濡染陳俗卻人，雖善士亦或不免。」近沾染溼潤。常指提筆寫字作畫。唐．李商隱．韓碑詩：「公退齋戒坐小閣，濡染大筆何淋漓。」明．高濂．玉簪記．第十齣：「（外）​仙姑手中佳扇，為何無人題寫？（旦）​欲求足下濡染，未敢輕凟。」,NA,1350
yan2~yan2,yán~yán,炎炎,炎炎,火,NA,hjem~hjem,*[ɢ]ʷ(r)am~*[ɢ]ʷ(r)am,NA,NA,很熱的樣子。如：「夏日炎炎」。熱氣很盛的樣子。詩經．大雅．雲漢：「赫赫炎炎，云我無所。」紅樓夢．第一回「只見烈日炎炎，芭蕉冉冉，夢中之事便忘了對半。」火光猛烈的樣子。史記．卷二十七．天官書：「炎炎有光，偃兵。」清．金俞邁．詠木棉事詩：「鋤花偏喜日卓午，曦馭炎炎似火輪。」權勢顯赫的樣子。文選．揚雄．解嘲：「炎炎者滅，隆隆者絕。」,NA,1767
zheng1~zheng1,zhēng~zhēng,烝烝,烝烝,火,NA,tsying~tsying,*təŋ~*təŋ,NA,NA,興盛的樣子。如：「草木烝烝，日以繁茂。」德業淳厚的樣子。書經．堯典：「克諧以孝烝烝，乂不格姦。」史記．卷一二二．酷吏傳．序：「網漏於吞舟之魚，而吏治烝烝，不至於姦，黎民艾安。」,NA,2059
yan4~yan4,yàn~yàn,焱焱,焱焱,火,NA,yemH~yemH,NA~NA,NA,"flaming, blazing, like flickering flames, shimmering sparks",NA,NA,1782
he4~he4,hè~hè,熇熇,熇熇,火,NA,howk~howk,NA~NA,NA,NA,火勢熾盛的樣子，多指慘毒的惡政。詩經．大雅．板：「多將熇熇，不可救藥。」興旺的樣子。明．劉基．靈丘丈人：「是何昔者之熇熇，而今日之涼涼也。」,NA,460
xun1~xun1,xūn~xūn,熏熏,熏熏,火,NA,xjun~xjun,*qʰu[n]~*qʰu[n],NA,NA,和悅的樣子。詩經．大雅．鳧鷖：「鳥鷖在亹，公尸來止熏熏。」文選．張衡．東京賦：「君臣歡康，具醉熏熏。」眾多的樣子。漢．揚雄．太玄經．卷二．交：「往來熏熏，得亡之門。」,NA,1752
ying2~ying2,yíng~yíng,熒熒,荧荧,火,NA,hweng~hweng,*[N]-qʷˤeŋ~*[N]-qʷˤeŋ,NA,NA,光豔的樣子。史記．卷四十三．趙世家：「美人熒熒兮，顏若苕之榮。」文選．宋玉．高唐賦：「玄木冬榮，煌煌熒熒。」閃動的樣子。漢．秦嘉．贈婦詩：「飄飄帷帳，熒熒華燭。」唐．杜牧．阿房宮賦：「明星熒熒，開妝鏡也。」微弱的樣子。明．歸有光．先妣事略：「孺人之吳家橋，則治木綿，入則，則緝纑，燈火熒熒，每至夜分。」,l,1938
xi1~xi1,xī~xī,熙熙,熙熙,火,NA,xi~xi,*qʰ(r)ə~*qʰ(r)ə,NA,NA,和樂的樣子。老子．第二十章：「眾人熙熙，如享太牢。」唐．韋應物．往富平傷懷詩：「出門無所憂，返室亦熙熙。」形容笑聲。太平廣記．卷四一九．柳毅傳：「紅妝千萬，笑聲熙熙。」,NA,1620
lin2~lin2,lín~lín,燐燐,燐燐,火,NA,lin~lin,NA~NA,NA,NA,清晰可見的樣子。文選．劉楨．贈從弟詩三首之一：「汎汎東流水，磷磷水中石。」,NA,872
yan4~yan4,yàn~yàn,燕燕,燕燕,火,NA,'enH~'enH,*ʔˤe[n]-s~*ʔˤe[n]-s,NA,NA,燕子。詩經．邶風．燕燕：「燕燕于飛，差池其羽。」唐．齊己．新燕詩：「燕燕知何事，年年應候來。」比喻妻妾或美女。宋．蘇軾．張子野年八十五尚聞買妾述古令作詩：「詩人老去鶯鶯在，公子歸來燕燕忙。」如：「鶯鶯燕燕」。悠閒的樣子。詩經．小雅．北山：「或燕燕居息，或盡瘁事國。」毛亨．傳：「燕燕，安息貌。」亦作「宴宴」。,"note! yan~yan is an ideophone but not always, sometimes as 'swallow' it is distributive",1780
yao4~yao4,yào~yào,燿燿,燿燿,火,NA,yewH~yewH,*lewk-s~*lewk-s,NA,NA,光明的樣子。文選．司馬相如．長門賦：「五色炫以相曜兮，爛耀耀而成光。」,NA,1831
ye4~ye4,yè~yè,爗爗,爗爗,火,NA,hip~hip,*ɢʷ(r)[ə]p~*ɢʷ(r)[ə]p,NA,NA,NA,NA,1838
yi1~jie1,yī~jiē,猗嗟,猗嗟,NA,NA,'i~tsjae,NA~*tsAj,NA,NA,表示讚嘆的語詞。詩經．齊風．猗嗟：「猗嗟昌兮，頎而長兮。」毛亨．傳：「猗嗟，歎辭。」唐．張說．大唐中散大夫行淄州司馬鄭府君神道碑：「猗嗟君子，世濟其美。」詩經齊風的篇名。共三章。根據詩序：「猗嗟，刺魯莊公也。」首章二句為：「猗嗟昌兮，頎而長兮。」猗嗟，嘆詞。,NA,1844
yi1~yu3,yī~yǔ,猗歟,猗欤,NA,NA,'je~yo,NA~NA,NA,ah yes! oh indeed!,NA,NA,1852
yi1~yu3,yī~yǔ,猗與,猗与,NA,NA,‘jeX~yoX,NA~*m-q(r)aʔ,NA,NA,NA,NA,1851
qiang1~qiang1,qiāng~qiāng,瑲瑲,瑲瑲,玉,NA,tshjang~tshjang,NA~NA,NA,NA,NA,NA,1257
fu3~fu3,fǔ~fǔ,甫甫,甫甫,NA,NA,pjuX~pjuX,*p(r)aʔ~*p(r)aʔ,NA,NA,NA,NA,396
tian2~tian2,tián~tián,田田,田田,田,NA,den~den,*lˤiŋ~*lˤiŋ,NA,NA,荷葉鮮碧的樣子。漢．無名氏．江南詩：「江南可採蓮，蓮葉何田田。」宋．歐陽修．漁家傲．荷葉田田青照水詞：「荷葉田田青照水，孤舟挽在花陰底。」,NA,1494
shen1~shen1,shēn~shēn,申申,申申,申,NA,syin~syin,*l̥i[n]~*l̥i[n],NA,NA,怡然自得的樣子。論語．述而：「子之燕居，申申如也。」重複。楚辭．屈原．離騷：「女嬃之蟬媛兮，申申其詈予。」嚴整的樣子。漢書．卷二十二．禮樂志：「敕身齊戒，施教申申。」,NA,1383
guan3~guan3,guǎn~guǎn,痯痯,痯痯,疒,NA,kwanX~kwanX,*kʷˤa[n]ʔ~*kʷˤa[n]ʔ,NA,NA,NA,NA,426
deng1~deng1,dēng~dēng,登登,登登,癶,NA,tong~tong,*k-tˤəŋ~*k-tˤəŋ,NA,NA,狀聲詞：(1)​ 形容築牆用力相應的聲音。詩經．大雅．綿：「築之登登，削屢馮馮。」(2)​ 形容打碑的聲音。宋．蘇軾．孫莘老求墨妙亭詩：「龜趺入座螭隱壁、空齋晝靜聞登登。」,NA,278
fa1~fa1,fā~fā,發發,发发,癶,NA,pjot~pjot,*Cə.pat~*Cə.pat,NA,NA,風吹強烈、急速的樣子。詩經．小雅．蓼莪：「南山烈烈，飄風發發。」亦作「弗弗」。,alt pron  bō bō,338
bai2~bai2,bái~bái,白白,白白,白,NA,baek~baek,*bˤrak~*bˤrak,NA,NA,平白無故的。京本通俗小說．志誠張主管：「王招宣初娶時，十分寵幸；後來只為一句話破綻些，失了主人之心，情愿白白裡把與人。」紅樓夢．第六十九回：「你還依我，將此劍斬了那妒婦，一同歸至警幻案下，聽其發落。不然，你則白白的喪命，且無人憐惜。」如：「白白挨罵。」無可奈何的。老殘遊記．第一回：「章伯一想，理路卻也不錯，便道：『依你該怎麼樣？難道白白地看他們死嗎？』」勞而無獲的。初刻拍案驚奇．卷二十九：「等了多時，並不見牆裡有些些聲響，……到第二晚、第三晚，又復如此。白白守了三個深夜，並無動靜。」毫無牽掛的。紅樓夢．第四回：「雨村聽了，大怒道：『豈有這樣放屁的事！打死人命，竟白白走了，再拿不來的。』」,NA,40
jiao3~jiao3,jiǎo~jiǎo,皎皎,皎皎,白,NA,kjewX~kjewX,NA~NA,NA,NA,潔白的樣子。詩經．小雅．白駒：「皎皎白駒，食我場苗。」文選．何晏．景福殿賦：「皎皎白間，離離列錢。」近潔白、皎白、皎潔光明的樣子。文選．古詩十九首．明月何皎皎：「明月何皎皎，照我羅床幃。」文選．孔稚珪．北山移文：「其亭亭物表，皎皎霞外。」近皎潔,NA,614
gao1~gao1,gāo~gāo,皐皐,皐皐,白,NA,kaw~kaw,NA~NA,NA,NA,NA,NA,402
hao4~hao4,hào~hào,皓皓,皓皓,白,NA,hawX~hawX,NA~NA,NA,NA,潔白的樣子。詩經．唐風．揚之水：「揚之水，白石皓皓。」曠達的樣子。大戴禮記．衛將軍文子：「常以皓皓，是以眉壽，是曾參之行也。」廣大的樣子。史記．卷二十九．河渠書：「瓠子決兮將奈何？皓皓旰旰兮閭殫為河！」光明的樣子。漢．揚雄．法言．淵騫：「明星皓皓，華藻之力也與。」,NA,457
jiao3~jiao3,jiǎo~jiǎo,皦皦,皦皦,白,NA,kjewX~kjewX,NA~NA,NA,NA,潔白明淨的樣子。後漢書．卷六十一．黃瓊傳：「嶢嶢者易缺，皦皦者易汙。」文選．左思．雜詩：「明月出雲崖，皦皦流素光。」心胸光明。如：「心中皦皦」。,NA,615
pan2~pan2,pán~pán,盤盤,盘盘,皿,NA,ban~ban,*[b]ˤan~*[b]ˤan,NA,NA,形容迴旋曲折的樣子。唐．李白．蜀道難：「青泥何盤盤，百步九折縈巖巒。」形容盛大的樣子。南朝宋．檀道鸞．續晉陽秋．郄超：「大才槃槃謝家安，江東獨步王文度，盛德日新郄嘉賓。」,NA,1102
dang4~dang4,dàng~dàng,盪盪,盪盪,皿,NA,dangX~dangX,NA~NA,NA,NA,NA,NA,271
qiong2~qiong2,qióng~qióng,睘睘,睘睘,罒,NA,hwaen~hwaen,*[ɢ]ʷˤ<r>en~*[ɢ]ʷˤ<r>en,NA,NA,NA,rad. is 罒 or 目,1297
juan4~juan4,juàn~juàn,睠睠,睠睠,目,NA,kjwenH~kjwenH,*[k]ro[n]-s~*[k]ro[n]-s,NA,NA,NA,NA,694
chu4~chu4,chù~chù,矗矗,矗矗,直,NA,tsrhjuwk~tsrhjuwk,NA~NA,NA,NA,高聳的樣子。文選．司馬相如．上林賦：「崇山矗矗，巃嵸崔巍。」明史．卷三二五．外國傳六．浡泥傳：「矗矗高山，以鎮王國。」層層疊起的樣子。宋．梅堯臣．依韻和孫都官河上寫望詩：「魚腥矗矗橋邊市，花暗深深竹裡窗。」,NA,207
jin1~jin1,jīn~jīn,矜矜,矜矜,NA,NA,king~king,"*k-riŋ (dialect: *k-r- > k-, *-iŋ > MC -ing)~*k-riŋ (dialect: *k-r- > k-, *-iŋ > MC -ing)",NA,NA,堅強的樣子。詩經．小雅．無羊：「矜矜兢兢，不騫不崩。」形容戒慎危懼的樣子。後漢書．卷三十下．郎顗傳：「豈可不剛健篤實，矜矜慄慄，以守天功盛德大業乎？」三國志．卷二十五．魏書．高堂隆傳：「畏上天之明命，循陰陽之逆順，矜矜業業，惟恐有違。」,NA,644
lu4~lu4,lù~lù,碌碌,碌碌,石,NA,luwk~luwk,NA~NA,NA,"rough and unworked (of stones or gems); also, crude and common, banal and ordinary; (med.) also, onom. of grumble and groan of cart-wheels, creak and rattle",平庸的樣子。後漢書．卷八十．文苑傳下．禰衡傳：「餘子碌碌，莫足數也。」三國演義．第二十一回：「此等碌碌小人，何足挂齒。」或作「逯逯」、「錄錄」、「陸陸」。忙碌、奔波。紅樓夢．第二十二回：「從前碌碌卻因何？到如今，回頭試想真無趣。」狀聲詞。形容車行的聲音。唐．賈島．古意詩：「碌碌復碌碌，百年雙轉轂。」亦作「轆轆」。形容玉石的色彩美麗。南朝梁．劉勰．文心雕龍．總術：「落落之玉，或亂乎石；碌碌之石，時似乎玉。」才氣洋溢。南朝宋．劉義慶．世說新語．識鑒：「唯阿奴碌碌，當在阿母目下耳。」,NA,942
qing4~kong4,qìng~kòng,磬控,磬控,NA,NA,khengH~khuwngH,*[C.qʰ]ˤeŋ-s~*kʰˤoŋ-s,NA,NA,不讓馬前進的馭馬方法。詩經．鄭風．大叔于田：「抑磬控忌，抑縱送忌。」,NA,1292
zhi4~zhi4,zhì~zhì,秩秩,秩秩,禾,NA,drjit~drjit,NA~NA,NA,NA,清明的樣子。詩經．大雅．假樂：「威儀抑抑，德音秩秩。」肅敬的樣子。詩經．小雅．賓之初筵：「賓之初筵，左右秩秩。」水流的樣子。詩經．小雅．斯干：「秩秩斯干，幽幽南山。」有順序的樣子。荀子．仲尼：「貴賤長少，秩秩焉。」,NA,2071
